非晶态装甲云	Amorphous Armorcloud
孵化蝗虫进行攻击的攻城单位，蝗虫持续<d ref="Behavior,LocustTimedLife,Duration"/>秒。可以使用深槽虫道。<n/><n/><c val="#ColorAttackInfo">蝗虫可以对地。</c>	Siege unit that attacks by spawning Locusts that last for <d ref="Behavior,LocustTimedLife,Duration"/> seconds. Can use Deep Tunnel.<n/><n/><c val="#ColorAttackInfo">Locusts can attack ground units.</c>
允许<c val="ffff8a">虫群宿主、蟑螂和破坏者</c>迅速地钻到地图上的任意位置。	Allows <c val="ffff8a">Swarm Hosts, Roaches, and Ravagers</c> to quickly burrow to any location on the map.
潜地时通过孵化蝗虫进行攻击的攻城单位。<n/><n/><c val="#ColorAttackInfo">蝗虫可以对空和对地。</c>	Siege unit that attacks while burrowed by spawning Locust minions.<n/><n/><c val="#ColorAttackInfo">Locusts can attack ground and air units.</c>
感染深渊允许你将幼虫变异为虫群宿主。	Infestation Pit enables you to morph Swarm Hosts from Larvae.
扎根或潜地时通过孵化蝗虫进行攻击的攻城单位。蝗虫持续<d ref="Behavior,LocustMPTimedLife,Duration"/>秒。<n/><n/><c val="#ColorAttackInfo">蝗虫可以对空和对地。</c>	Siege unit that attacks while rooted or burrowed by spawning Locusts. Locusts last <d ref="Behavior,LocustMPTimedLife,Duration"/> seconds.<n/><n/><c val="#ColorAttackInfo">Locusts can attack ground and air units.</c>
为自己添加护盾<d ref="Behavior,SymbioteCarapace,Modification.VitalMaxArray[Shields]"/>，持续8秒。	Shields self for <d ref="Behavior,SymbioteCarapace,Modification.VitalMaxArray[Shields]"/>. Lasts for 8 seconds.
使宿主前往目标位置。	Suggests a location for the host to move to, if able.
对附近敌人造成<d ref="Effect,SymbioteSpikeBurstDamage,Amount"/>点伤害。	Deals <d ref="Effect,SymbioteSpikeBurstDamage,Amount"/> damage to nearby enemies.
向附近目标单位射出尖刺，造成<d ref="Effect,SymbioteStabDamage,Amount"/>点伤害。	Shoot a spike at a nearby target dealing <d ref="Effect,SymbioteStabDamage,Amount"/> damage.
加快战争棱镜的变形速度并扩大供能范围。使战争棱镜在运输模式下可以攻击地面和空中单位。	Increases the War Prism's transformation speed and power radius. Allows the War Prism to attack ground and air units while in Transport Mode.
战车研究建筑。开启额外单位并允许同时制造2个单位。科技反应堆可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在重工厂建造攻城坦克<n/>- 可在重工厂建造飓风<n/>- 拥有军械库后可在重工厂建造雷神	Vehicle-research structure. Enables additional unit construction options and allows 2 units to be created simultaneously. A Tech Reactor can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Siege Tanks at the Factory<n/>- Cyclones at the Factory<n/>- Thors at the Factory with Armory
空中单位研发建筑。开启额外单位并允许同时制造2个单位，科技反应堆可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 可在星港制造大力神<n/>- 可在星港制造科学船	Aircraft-research structure. Enables additional unit construction options and allows 2 units to be created simultaneously. A Tech Reactor can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hercules at the Starport<n/>- Science Vessels at the Starport
攻城炮舰，拥有超远射程。可以使用衰变。<n/><n/><c val="ffff8a">可以对空和对地。</c>	Siege artillery craft. Attacks from long range. Can use Disintegration.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>
伸出最多5只触手将目标拖向扼喉怪，并对其持续造成伤害。	Shoots up to 5 tentacles that pull targets toward the Choker and deal damage over time.
升级步兵单位的护甲，使其生命值提高10%。	Upgrades the armor of infantry units and increases their life by 10%.
使步兵单位的护甲最大化。	Maximizes the armor of infantry units.
使步兵单位的火力最大化。	Maximizes the damage dealt by infantry units.
升级重工厂或星港建造的单位的护甲，使其生命值提高10%	Upgrades the armor of units built at a Factory or Starport and increases their life by 10%
一个被设计用来采集行星物资的自动无人机。	An automated drone designed to harvest planetary materials.
芯核锻炉使你可以折跃超维空间炮。	Core Forge allows you to warp in Tesseract Cannons.
在雷神四周生成一道屏障，吸收<d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/>点伤害。该技能每<d ref="Abil,DefensiveMatrix,Cost[0].Cooldown.TimeUse"/>秒只能使用一次。	Surrounds the Thor with a shield that can absorb <d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/> damage. Ability can only be used once every <d ref="Abil,DefensiveMatrix,Cost[0].Cooldown.TimeUse"/> seconds.
这架雷神受到了致命损伤。对它进行重建以恢复其所有生命值。	This Thor has been critically damaged. Rebuild it to restore it to full life.
对目标建筑进行时空提速，使其运作效率提高<d ref="((Behavior,TimeWarpProduction,Modification.RateMultiplierArray[Progress]) - 1) * 100" precision="1"/>%。<n/><n/><c val="FFFF8A">可以对盟友建筑使用。</c>	Places target structure in a Chrono Boost, causing it to operate <d ref="((Behavior,TimeWarpProduction,Modification.RateMultiplierArray[Progress]) - 1) * 100" precision="1"/>% faster.<n/><n/><c val="FFFF8A">Can be used on allied structures.</c>
从普通攻击中获得生命值，相当于造成所有伤害的40%。	Gains life equal to 40% of all damage dealt from normal attacks.
生成菌毯。可以爆炸对附近所有的敌方地面单位造成伤害，并且使他们在死亡后掉落更多的生物质。	Generates creep. Can explode to deal damage to all nearby enemy ground units and cause them to drop additional Biomass when killed.
剧毒巢穴引爆，对附近的所有敌方地面单位造成<d ref="Effect,ToxicNestExplodeDamage,Amount"/>点伤害。	The Toxic Nest detonates, dealing <d ref="Effect,ToxicNestExplodeDamage,Amount"/> damage to all nearby ground enemy units.
剧毒巢穴引爆，对附近的所有敌方地面单位造成<d ref="Effect,ToxicNestExplodeDamage,Amount"/>点伤害。受到剧毒巢穴伤害的敌人掉落50%额外的生物质，并且攻击和移动速度有所降低。剧毒巢穴有<d ref="Behavior,MasteryAbathurToxicNestRespawn,DamageResponse.Chance*100"/>%几率在引爆后重新孵化。	The Toxic Nest detonates, dealing <d ref="Effect,ToxicNestExplodeDamage,Amount"/> damage to all nearby ground enemy units. Enemies damaged by Toxic Nests drop 50% additional Biomass and have attack and movement speeds slowed. Toxic Nests have a <d ref="Behavior,MasteryAbathurToxicNestRespawn,DamageResponse.Chance*100"/>% chance to respawn after detonating.
剧毒巢穴的攻击会施加搜集标记的负面效果	Toxic Nest attack gvies Marks for Colelction debuff
部署<d ref="Effect,BansheeBlackOpsSpawnerCreateUnit,SpawnCount"/>架隐秘女妖。</n></n>强化版战术打击飞行器。可以在升级后永久隐形。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Deploys <d ref="Effect,BansheeBlackOpsSpawnerCreateUnit,SpawnCount"/> Covert Banshees.</n></n>Improved tactical-strike aircraft. Can be upgraded to be permanently cloaked.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
部署<d ref="Effect,GhostBlackOpsSpawnerCreateUnit,SpawnCount+Effect,GhostBlackOpsSpawnerCreateUnitFemale,SpawnCount"/>名特战幽灵。</n></n>精英狙击手。可以使用狙杀并且永久隐形。可以在升级后使用EMP弹。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Deploys <d ref="Effect,GhostBlackOpsSpawnerCreateUnit,SpawnCount+Effect,GhostBlackOpsSpawnerCreateUnitFemale,SpawnCount"/> Spec Ops Ghosts.</n></n>Elite sniper. Can use Snipe and is permanently cloaked. Can be upgraded to use EMP Rounds.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>
部署<d ref="Effect,GoliathBlackOpsSpawnerCreateUnit,SpawnCount"/>名强击歌利亚。</n></n>精英重型火力支援单位。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Deploys <d ref="Effect,GoliathBlackOpsSpawnerCreateUnit,SpawnCount"/> Strike Goliaths.</n></n>Elite heavy-fire support unit.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>
建造替换的攻击战斗机。	Building a replacement Strike Fighter.
平台会自动重新建造被毁的攻击战斗机。	The platform will automatically rebuild Strike Fighters that are destroyed.
部署<d ref="Effect,HellbatBlackOpsSpawnerCreateUnit,SpawnCount"/>名恶蝠游骑兵。</n></n>精英近距离战斗单位，对前方小范围锥形区域造成伤害。可变形为快速侦察单位。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Deploys <d ref="Effect,HellbatBlackOpsSpawnerCreateUnit,SpawnCount"/> Hellbat Rangers.</n></n>Elite close-range combat unit. Deals damage in a small frontal cone. Can transform into a fast scout unit.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
招募一小队雇佣兵。他们有喷气背包，可以跟上霍纳的单位，可以在限定时间内飞行。<n/><n/>可以对地和对空。	[ph] Recruits a small group of Mercenaries.  The mercs have jetpacks so they can keep up with Horner's units, and can fly for a limited time.<n/><n/>Can attack Ground and Air.
部署<d ref="Effect,LiberatorBlackOpsSpawnerCreateUnit,SpawnCount"/>架掠袭解放者。</n></n>精英重型火炮战机。装载有能对敌方空中单位造成范围伤害的飞弹。可以切换为防卫模式以提供攻城火力。<n/><n/><c val="#ColorAttackInfo">可以对空。</c>	Deploys <d ref="Effect,LiberatorBlackOpsSpawnerCreateUnit,SpawnCount"/> Raid Liberators.</n></n>Elite artillery fighter. Loaded with missiles that deal area damage to enemy air targets. Can switch into Defender Mode to provide siege support.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>
部署<d ref="Effect,MarauderBlackOpsSpawnerCreateUnit,SpawnCount"/>名劫掠者突击手。</n></n>精英重型突击步兵。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Deploys <d ref="Effect,MarauderBlackOpsSpawnerCreateUnit,SpawnCount"/> Marauder Commandos.</n></n>Elite heavy assault infantry.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
部署<d ref="Effect,MarineBlackOpsSpawnerCreateUnit,SpawnCount"/>名精英陆战队员。</n></n>精英通用型步兵。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Deploys <d ref="Effect,MarineBlackOpsSpawnerCreateUnit,SpawnCount"/> Elite Marines.</n></n>Elite all-purpose infantry.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>
部署<d ref="Effect,RavenBlackOpsSpawnerCreateUnit,SpawnCount"/>架铁鸦II型。</n></n>空中支援单位原型机。可以使用磁轨炮塔，生物机械修理无人机，以及捕食者飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Deploys <d ref="Effect,RavenBlackOpsSpawnerCreateUnit,SpawnCount"/> Raven Type-II.</n></n>Prototype aerial support unit. Can use Railgun Turret, Bio-Mechanical Repair Drone, and Predator Missile.<n/><n/><c val="FFE303">Detector</c>
部署<d ref="Effect,SiegeTankBlackOpsSpawnerCreateUnit,SpawnCount"/>辆重型攻城坦克。</n></n>加强版重型坦克。可以切换成攻城模式，提供远程炮火支援。可以在升级后使用蜘蛛雷。<n/><n/><c val="FFFF8A">可以对地。</c>	Deploys <d ref="Effect,SiegeTankBlackOpsSpawnerCreateUnit,SpawnCount"/> Heavy Siege Tanks.</n></n>Enhanced heavy tank. Can switch into Siege Mode to provide long-range artillery support. Can be upgraded to use Spider Mines.<n/><n/><c val="FFFF8A">Can attack ground units.</c>
将共生体转移至另一个单位。选择自动施法将挑选一个战斗中的单位。	Transfer the symbiote to another unit. Autocast will pick a unit in combat to transfer to.
为警戒者、激励者和护盾充能器提供升级方案。	Contains upgrades for Sentinels, Energizers, and Shield Batteries.
生产两名基础工人单位。可以采集晶体矿和高能瓦斯。可以变异成建筑。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Produces two basic worker units. Can harvest minerals and vespene gas. Can mutate into structures.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
每有一名不法之徒在泰凯斯身边，泰凯斯的武器伤害便提高<d ref="Behavior,TychusACBandofBrothersBuff,Modification.DamageDealtFraction[Ranged]*100"/>%。	Increases Tychus' weapon damage by <d ref="Behavior,TychusACBandofBrothersBuff,Modification.DamageDealtFraction[Ranged]*100"/>% for each Outlaw in his immediate vicinity.
每有一名不法之徒在<c val="ffff8a">泰凯斯</c>身边，泰凯斯的武器伤害便提高<d ref="Behavior,TychusACBandofBrothersBuff,Modification.DamageDealtFraction[Ranged]*100"/>%。	Increases <c val="ffff8a">Tychus'</c> weapon damage by <d ref="Behavior,TychusACBandofBrothersBuff,Modification.DamageDealtFraction[Ranged]*100"/>% for each Outlaw in his immediate vicinity.
枪王之一，擅长各类战斗。可以使用粉碎者手雷。<n/><n/><c val="ffff8a">可以对空和对地。</c>	One of the Guns. Adept at all aspects of combat. Can use Shredder Grenade.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>
一个有着大自我的大块头，还手握一挺特大号的枪。他经历过的大风大浪多了去了，再大的麻烦在他眼里都不够大。尽管与自己的好哥们吉米有些过节，但他俩还是被看到经常在一起鬼混，要不然就是在忙着张罗他自己的雇佣兵队伍。	A big guy with a big ego, and an even bigger gun. He's seen a fair amount of trouble, but it's no sweat for him if there's just a little bit more. These days, he's often seen riding with his buddy Jimmy, despite their past differences, or running his own merc squads on the side.
粉碎者手雷将被影响的单位拖拽至效果范围中心，使其昏迷<d ref="Behavior,TychusShredderGrenadeStun,Duration"/>秒。	Allows Shredder Grenade to pull affected units to the center of its area of effect, stunning them for <d ref="Behavior,TychusShredderGrenadeStun,Duration"/> seconds.
