非晶态装甲云	Armure de brume
从远距离对目标敌人的地面或空中单位造成<d ref="Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount"/>点伤害。使用该技能击杀一个单位可以返还50%的能量消耗。<n/></n><c val = "#ColorAttackInfo">可以对生物和机械单位使用。	Inflige <d ref="Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount"/> points de dégâts aux unités terrestres ou aériennes ennemies ciblées à longue distance. Tuer une unité avec cette capacité rend 50% de son coût en énergie.<n/><n/><c val = "#ColorAttackInfo">Peut attaquer les unités biologiques et mécaniques.
当前装备改良式霰弹步枪。	Actuellement équipée du fusil de précision amélioré.
冲向前方并对一条直线上的敌方地面单位造成<d ref="Effect,NovaWeaponPsiBladeDamage,Amount"/>点伤害。</n></n><c val ="#ColorAttackInfo">不会对友方单位造成伤害。</c>	Fonce en avant et inflige <d ref="Effect,NovaWeaponPsiBladeDamage,Amount"/> points de dégâts aux unités ennemies terrestres sur une ligne droite.</n></n><c val ="#ColorAttackInfo">N’inflige pas de dégâts aux unités alliées.</c>
当前装备单分子光刀。	Actuellement équipée de la lame monomoléculaire.
允许诺娃重新装备你所研发的武器。	Vous permet d’affecter de nouveau un équipement recherché à Nova.
通过空投对目标区域进行聚变打击。聚变打击需要<d ref="Effect,NukePersistent,PeriodCount * Effect,NukePersistent,PeriodicPeriodArray[0]"/>秒才能生效，但可对大范围内的目标造成最多300 (+200对建筑) 点伤害。<n/><n/>在幽灵军校中购买弹头。	Ordonne une frappe nucléaire sur l’emplacement ciblé. Il lui faut <d ref="Effect,NukePersistent,PeriodCount * Effect,NukePersistent,PeriodicPeriodArray[0]"/> secondes pour atteindre la cible, mais elle inflige un maximum de 300 points de dégâts aux ennemis (+200 aux bâtiments) dans un large périmètre.<n/><n/>Achetez des charges à l’Académie fantôme.
友方地面单位可借助虫道网络在任何该玩家拥有的坑道虫或虫道网络间穿梭。生成菌毯，可满足附近异虫建筑的存活需求。<n/><n/><c val="#ColorAttackInfo">效果加成：异虫单位在菌毯上的移动速度更快</c>	Les unités terrestres alliées peuvent utiliser un ver de Nydus pour voyager instantanément vers n’importe quel autre ver ou réseau de Nydus appartenant au joueur. Génère du mucus, qui est utilisé pour nourrir les bâtiments zergs proches.<n/><n/><c val="#ColorAttackInfo">Bonus : les Zergs se déplacent plus vite sur le mucus.</c>
将单位送入虫道网络欧米茄。	Charge les unités dans le réseau Oméga.
对目标单位每秒造成<d ref="Effect,NydusDestroyerBeamDamage,Amount * (1 / Effect,NydusDestroyerBeamCP,PeriodicPeriodArray[0])"/>点伤害，持续<d ref="Effect,NydusDestroyerBeamCP,PeriodCount * Effect,NydusDestroyerBeamCP,PeriodicPeriodArray[0]"/>秒。	Inflige <d ref="Effect,NydusDestroyerBeamDamage,Amount * (1 / Effect,NydusDestroyerBeamCP,PeriodicPeriodArray[0])"/> points de dégâts par seconde à l’unité ciblée pendant <d ref="Effect,NydusDestroyerBeamCP,PeriodCount * Effect,NydusDestroyerBeamCP,PeriodicPeriodArray[0]"/> secondes.
净化者阵营<n/>间谍型空中单位。间谍型空中单位。敌人没有侦测手段将无法看到隐形单位。<n/><n/><c val="FFE303">侦测单位</c>	Faction : Purificateurs<n/>Espion aérien. Son camouflage le rend invisible pour les ennemis sans capacité de détection.<n/><n/><c val="FFE303">Détecteur</c>
间谍型空中单位。敌人没有侦测手段将无法看到隐形单位。可以使用监察模式。<n/><n/><c val="FFE303">侦测单位</c>	Espion aérien. Son camouflage le rend invisible pour les ennemis sans capacité de détection. Peut utiliser le mode surveillance.<n/><n/><c val="FFE303">Détecteur</c>
间谍型空中单位。敌人没有侦测手段将无法看到隐形单位。可以使用侦测器模式。<n/><n/><c val="FFE303">侦测单位</c>	Espion aérien. Son camouflage le rend invisible pour les ennemis sans capacité de détection. Peut utiliser le mode observateur.<n/><n/><c val="FFE303">Détecteur</c>
朝一片区域发射一轮炮弹乱射，在<d ref="Effect,TychusOdinBarrageCP,PeriodCount * Effect,TychusOdinBarrageCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,TychusOdinBarrageCP,PeriodCount * Effect,TychusOdinBarrageDamage,Amount"/>点伤害。<n/><n/><c val="#ColorAttackInfo">可以打击地面单位和建筑。</c>	Déclenche un tir de barrage qui inflige <d ref="Effect,TychusOdinBarrageCP,PeriodCount * Effect,TychusOdinBarrageDamage,Amount"/> points de dégâts de zone en <d ref="Effect,TychusOdinBarrageCP,PeriodCount * Effect,TychusOdinBarrageCP,PeriodicPeriodArray[0]"/> secondes.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités et les bâtiments terrestres.</c>
奥丁是一种重型攻城步战单位，其威力足以夷平整座城市。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Le Odin est un marcheur de siège massif, capable de raser des villes entières.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>
将单位送入坑道虫欧米茄。	Charge les unités dans le ver Oméga.
友方地面部队可以使用虫道网络欧米茄以迅速地在玩家拥有的坑道虫欧米茄或虫道网络欧米茄之间穿梭。<n/><n/><c val="ffff8a">开启：</c><n/>- 坑道虫欧米茄	Les unités terrestres alliées peuvent emprunter le réseau Oméga pour voyager instantanément vers n’importe quel autre réseau ou ver Oméga appartenant au joueur.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Ver Oméga
空中施法单位。可以使用静滞结界。<n/><n/><c val="ffff8a">可以对地。</c><n/><c val="FFE303">侦测单位</c>	Lanceur de sorts volant. Peut utiliser Mine de stase.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c><n/><c val="FFE303">Détecteur</c>
在目标位置放置一个隐形的静滞结界。一旦被敌方地面单位激活，该结界会使他们昏迷<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。	Place une mine de stase camouflée à la position ciblée. Une fois activée par une unité terrestre ennemie, elle l’étourdit pendant <d ref="Behavior,OracleStasisTrapTarget,Duration"/> secondes.
使指挥中心升级为轨道控制基地，并启用析像扫描和轨道空投：矿骡技能。无法装载SCV。	Améliore le Centre de commandement en Station orbitale, et débloque les capacités Senseurs et Envoi : MULE. Ne peut pas charger de VCS.
改良版补给站。可以无需使用SCV直接从高空轨道空投部署。	Dépôt de ravitaillement amélioré. Peut être déployé instantanément depuis l’orbite, sans utilisation de VCS.
兵营、重工厂以及星港中生产的单位会被直接输送到这些建筑的集结点位置。	Les unités produites à la caserne, à l’usine et au spatioport sont déployées directement au point de ralliement du bâtiment.
命令运载车辆回撤至主基地。	Ordonne au convoi de se replier sur sa base de départ.
命令运载车辆移动前往目的地。	Ordonne au convoi d’avancer vers sa destination.
高级空中侦察单位。 能够维持王虫形态时所控制的单位上限。可以使用超距视界。<n/><n/><c val="FFE303">侦测单位</c>	Observateur aérien avancé. Fournit le même ravitaillement qu’un dominant. Peut utiliser Vigilance.<n/><n/><c val="FFE303">Détecteur</c>
朝目标位置呼叫一次聚变打击，在延迟<d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/>秒后对一个大范围区域造成<d ref="Effect,NovaCoopCasterNukeDamage,Amount"/>点伤害。</n></n><c val="#ColorAttackInfo">只能在潜行模式下使用。</c>	Déclenche une frappe nucléaire sur la position ciblée qui inflige <d ref="Effect,NovaCoopCasterNukeDamage,Amount"/> points de dégâts dans un large rayon après <d ref="Effect,NovaCoopCasterNukePersistent,InitialDelay+Effect,NovaCoopCasterNukePersistent,ExpireDelay"/> secondes.<n/><n/><c val="#ColorAttackInfo">Ne peut être utilisé qu’en mode Furtif.</c>
降低敌人对死徒护盾造成的伤害。	Réduit les dégâts que les ennemis infligent aux boucliers du disciple.
分裂池允许你将工蜂变异为胆汁喷射体。	Le bassin génétique vous permet de muter des ouvriers en lanceurs de bile.
恶蝠在两种模式下对轻甲单位造成的伤害提高15点。	Confère au Nettoyeur +15 points de dégâts contre les unités légères dans les deux modes.
恶蝠游骑兵在两种模式下对轻甲单位造成的伤害提高15点。	Confère au Nettoyeur éclaireur +15 points de dégâts contre les unités légères dans les deux modes.
攻城坦克在攻城模式下的攻击力+40。溅射伤害保持不变。	Confère +40 points de dégâts au char de siège en mode Siège. Les dégâts de zone ne son pas modifiés.
处于光环中的友方单位有33%的几率忽略2点任意类型的伤害。	Les unités alliées dans la zone d’aura ont 33% de chances d’ignorer 2 points de dégâts infligés par n’importe quelle source.
被该光环影响的单位在受到伤害时，其攻击者将承受该伤害量N%的伤害。	Quand une unité bénéficiant de cette aura subit des dégâts, son attaquant subit N% du montant de dégâts infligés.
被该光环影响的单位在攻击时可以恢复生命值。	Les unités affectées par cette aura récupèrent des points de vie en attaquant.
被该光环影响的单位其能量恢复速度提高。	Les unités affectées par cette aura récupèrent davantage d’énergie.
被该光环影响的单位其移动速度和生命值恢复速度提高。	La vitesse de déplacement et la récupération de points de vie des unités affectées par cette aura sont augmentées.
重工厂使你能建造末日炮塔。	L’usine vous permet de construire des tourelles Perdition.
重工厂使你能建造热辣贝蒂。	L’usine vous permet de construire Betty la Flambeuse.
海盗船永久隐形。	Permet au Corsaire d’être camouflé en permanence.
凯莫瑞安工人是永久隐身的。	L’ouvrier kel-morian est toujours camouflé.
该先知处于永久隐形状态。	L’Oracle est camouflé en permanence.
该萨尔纳加观察者处于永久隐形状态。	Le scrutateur Xel’Naga est camouflé en permanence.
空中优势战机。能够同时对两个敌人使用引力光束。<n/><n/><c val="ffff8a">可以对空。</c>	Chasseur de supériorité aérienne. Peut utiliser Rayon à gravitons sur deux unités ennemies simultanément.<n/><n/><c val="ffff8a">Peut attaquer les unités aériennes.</c>
使目标单位与附近另一个敌方单位浮空并无法使用技能。效果持续<d time="10"/>。<n/><n/><c val="#ColorAttackInfo">重型单位对此免疫。</c>	Fait flotter l’unité ciblée et une autre unité ennemie proche dans les airs, neutralisant leurs capacités. L’effet dure <d time="10"/>.<n/><n/><c val="#ColorAttackInfo">Les unités lourdes sont insensibles.</c>
空中优势战机。可使用引力光束，升级后还可使用相位护甲技能。<n/><n/><c val="ffff8a">可以对空。</c>	Chasseur stellaire de supériorité aérienne. Peut utiliser Rayon à gravitons et peut être amélioré pour utiliser Armure phasique.<n/><n/><c val="ffff8a">Peut attaquer les unités aériennes.</c>
为目标水晶塔的心能水晶充能，使其变成一个远程武器，能造成<d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/>点伤害，持续<d ref="Behavior,Purify,Duration[0]"/>秒。	Alimente le cristal Khaydarin du pylône ciblé, le transformant en une arme à longue portée pendant <d ref="Behavior,Purify,Duration[0]"/> secondes, capable d’infliger <d ref="Effect,MothershipCoreWeaponDamage,Amount[0]"/> points de dégâts.
玩家1<s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/><n/>玩家2<s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/>	Joueur 1 <s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/><n/>Joueur 2 <s val="Kicker_Gas">+50 </s><IMG path="Assets\Textures\icon-gas-terran.dds" height="28" width="28"/>
玩家1<s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>玩家2<s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>	Joueur 1 <s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>Joueur 2 <s val="Kicker_Minerals">+50 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>
该物品可以被拾取。	Cet objet peut être ramassé.
玩家1<s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>玩家2<s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>	Joueur 1 <s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/><n/>Joueur 2 <s val="Kicker_Minerals">+25 </s><IMG path="Assets\Textures\icon-mineral-terran.dds" height="28" width="28"/>
部署一架无人机，在短时间内瞄准一个单位并进行追击。随后它将会瞄准地面并在短暂延迟后对一个小范围造成大量伤害。	Déploie un drone qui cible une unité et la poursuit pendant quelques instants. Le drone vise ensuite le sol et, après un court délai, inflige des dégâts importants dans une zone réduite.
自动化防御激光，可以拦截敌军导弹。无法拦截特殊攻击。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Laser défensif automatisé qui intercepte toute une variété de projectiles ennemis. N’intercepte pas les attaques spéciales.<n/><n/><c val="f078ff">Chaque tir consomme 10 points d’énergie.</c>
用一束激光拦截敌方射出的飞弹。<n/>无法命中由特殊技能射出的飞弹。<n/><d ref="Behavior,PointDefenseDrone_BlackOpsTimedLife,Duration"/>秒后失效。<n/><n/><c val="f078ff">每次拦截消耗10点能量。</c>	Utilise un laser pour abattre les missiles ennemis.<n/>Inefficace contre les capacités spéciales.<n/>Disparaît après <d ref="Behavior,PointDefenseDrone_BlackOpsTimedLife,Duration"/> secondes.<n/><n/><c val="f078ff">Chaque tir consomme 10 points d’énergie.</c>
使该单位可以传送到附近一处目标点。萨尔纳加伏击者一旦机体受到损坏就会自动闪现至安全位置。	Permet à cette unité de se téléporter sur de courtes distances. Les persécuteurs Xel’Naga se téléportent automatiquement en lieu sûr si leur blindage est endommagé.
穆尔瓦的巢穴使你可以进化原始守护者。	La tanière de Murvar permet l’engendrement de gardiens primordiaux.
穆尔瓦的巢穴使你可以孵化原始宿主。	La tanière de Murvar permet la génération d’essaimeurs primordiaux.
格里维格的巢穴使你可以孵化原始刺蛇。	La tanière de Glevig permet la génération d’hydralisks primordiaux.
格里维格的巢穴使你可以进化原始点火虫。	La tanière de Glevig permet l’engendrement de pyropodes primordiaux.
格里维格的巢穴使你可以进化原始穿刺者。	La tanière de Glevig permet l’engendrement d’empaleurs primordiaux.
