Amorphous Armorcloud	Аморфное бронеоблако
Infantry-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marauders	Позволяет разрабатывать улучшения для пехоты. Построенную лабораторию можно состыковать с любым производственным строением.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– обучение мародеров
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Siege Tanks	Позволяет разрабатывать улучшения для наземной техники. Построенную лабораторию можно состыковать с любым производственным строением.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство осадных танков
This Tal'darim Altar has been depleted.	Вы уже извлекли весь терразин из этого алтаря.
The Montana F200. It ain't just a Cargo Truck. It's a Montana F200.	Это не просто грузовик. Это «Монтана F200».
Tal'darim Faction<n/>Ultimate Protoss vessel. Is armed with an Invulnerability Shield, Carrier Interceptors and can use Thermal Lance.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Талдаримы<n/>Мощнейшее судно протоссов. Оснащено непробиваемым щитом и перехватчиками. Может использовать способность «Термальный луч».<n/><n/><c val="ffff8a">Атакует наземные и воздушные войска.</c>
Cloaks the unit, preventing enemy units from seeing or attacking it. A cloaked unit will only be revealed by detectors or effects.<n/><n/><c val="f078ff">Drains <d ref="-1 * (Behavior,ReaperCloak,Modification.VitalRegenArray[2] + Unit,Reaper,EnergyRegenRate)" precision="1"/> energy per second.</c>	Скрывает боевую единицу, делая ее невидимой для врагов. Замаскированная боевая единица может быть выявлена только с помощью детекторов или обнаруживающих эффектов.<n/><n/><c val="f078ff">Расходует <d ref="-1 * (Behavior,ReaperCloak,Modification.VitalRegenArray[2] + Unit,Reaper,EnergyRegenRate)" precision="1"/> ед. энергии в секунду.</c>
Cloaks the unit, preventing enemy units from seeing or attacking it. A cloaked unit will only be revealed by detectors or effects.<n/><n/><c val="f078ff">Drains <d ref="-1 * (Behavior,LiberatorCloak,Modification.VitalRegenArray[2] + Unit,Liberator,EnergyRegenRate)" precision="1"/> energy per second.</c>	Скрывает боевую единицу, делая ее невидимой для врагов. Замаскированная боевая единица может быть выявлена только с помощью детекторов или обнаруживающих эффектов.<n/><n/><c val="f078ff">Расходует <d ref="-1 * (Behavior,LiberatorCloak,Modification.VitalRegenArray[2] + Unit,Liberator,EnergyRegenRate)" precision="1"/> ед. энергии в секунду.</c>
The Reaper is permanently cloaked.	Головорез обладает постоянной маскировкой.
The Banshee is permanently cloaked.	«Банши» обладает постоянной маскировкой.
Security bot. Detects nearby cloaked units and fires an EMP round in order to reveal them.	Модуль безопасности. Обнаруживает находящиеся поблизости замаскированные боевые единицы и открывает их местоположение, поражая электромагнитным импульсом.
The Varley-Matheson 1500 Low Cruiser. Ride like the wind.	«Варли-Мэтесон 1500». Прокатись с ветерком.
Provides the Ghost with a shield that reduces incoming damage until <d ref="Behavior,DOMGhostPersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/> total damage is absorbed. Shield lasts for <d time="20"/>.	Укрывает призрака щитом, уменьшающим весь получаемый урон до тех пор, пока щит не поглотит в общей сложности <d ref="Behavior,DOMGhostPersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/> ед. урона. Щит существует в течение <d time="20"/>.
Creates Restoration Charges that restore life and energy to Nova and nearby friendly units when used.	Создает восстанавливающие заряды, которые восполняют здоровье и энергию Нове и находящимся рядом союзным боевым единицам.
Expert in research and development.	Специалист по исследованиям и разработкам.
After carefully aiming, the Ghost fires a sniper round dealing <d ref="Effect,DOMSnipeDamage,Amount"/> damage. Ignores armor.<n/><n/><c val="#ColorAttackInfo">Can only target biological units.</c>	После тщательного прицеливания призрак делает выстрел, наносящий <d ref="Effect,DOMSnipeDamage,Amount"/> ед. урона. Выстрел пробивает броню. <n/><n/><c val="#ColorAttackInfo">Целью могут быть только органические боевые единицы.</c>
Specialized support unit. Can use Consume, Dark Swarm and Plague.	Специализированная боевая единица поддержки. Может использовать способности «Поглощение», «Темный рой» и «Чума».
Spider Mines pursue enemy units that come in range, and detonate for heavy area damage. Buried Spider Mines can only be seen by enemy <c val="FFE303">Detectors</c>.	Паучьи мины преследуют врага и взрываются, нанося большой урон по области. Закопанные мины можно выявить только с помощью <c val="FFE303">детекторов</c>.
Gigantic Terran Battlecruiser. Currently vulnerable while undergoing repairs.	Гигантский крейсер терранов. Уязвим для атак противника, пока продолжается ремонт.
