Amorphous Armorcloud	Nube de blindaje amorfa
Deals <d ref="Effect,Snipe_BlackOpsDamage,Amount"/> damage to target enemy biological unit, plus 2 additional shots that deal <d ref="Effect,Snipe_BlackOpsTripleTapDamage,Amount"/> damage each. </n></n><c val="#ColorAttackInfo">Mechanical units are immune.</c>	Inflige <d ref="Effect,Snipe_BlackOpsDamage,Amount"/> de daño a la unidad biológica enemiga seleccionada y lanza 2 disparos adicionales que infligen <d ref="Effect,Snipe_BlackOpsTripleTapDamage,Amount"/> de daño cada uno. </n></n><c val="#ColorAttackInfo">Las unidades mecánicas son inmunes.</c>
Generates <d ref="Effect,SolarForgeSolarEfficiency1MU,VitalArray[Energy].Change"/> point of energy for the Spear of Adun every <d time = "6.3"/>.	Genera <d ref="Effect,SolarForgeSolarEfficiency1MU,VitalArray[Energy].Change"/> puntos de energía para la Lanza de Adun cada <d time = "6.3"/>.
Generates <d ref="Effect,SolarForgeSolarEfficiency2MU,VitalArray[Energy].Change"/> points of energy for the Spear of Adun every <d time = "6.3"/>.	Genera <d ref="Effect,SolarForgeSolarEfficiency2MU,VitalArray[Energy].Change"/> puntos de energía para la Lanza de Adun cada <d time = "6.3"/>.
Generates <d ref="Effect,SolarForgeSolarEfficiency3MU,VitalArray[Energy].Change"/> points of energy for the Spear of Adun every <d time = "6.3"/>.	Genera <d ref="Effect,SolarForgeSolarEfficiency3MU,VitalArray[Energy].Change"/> puntos de energía para la Lanza de Adun cada <d time = "6.3"/>.
Contains upgrades for the Spear of Adun.	Tiene mejoras para la Lanza de Adun.
<s val="Kicker_Energy"><c val="EADE00">+1</c></s><img path="Assets\Textures\btn-solar-solarite.dds" height="28" width="28"/>	<s val="Kicker_Energy"><c val="EADE00">+1</c></s><img path="Assets\Textures\btn-solar-solarite.dds" height="28" width="28"/>
<s val="Kicker_Energy"><c val="EADE00">+3</c></s><img path="Assets\Textures\btn-ability-slaynelemental-solaritecocoon.dds" height="28" width="28"/>	<s val="Kicker_Energy"><c val="EADE00">+3</c></s><img path="Assets\Textures\btn-ability-slaynelemental-solaritecocoon.dds" height="28" width="28"/>
<s val="Kicker_Energy"><c val="EADE00">+6</c></s><img path="Assets\Textures\btn-ability-slaynelemental-solaritecocoon.dds" height="28" width="28"/>	<s val="Kicker_Energy"><c val="EADE00">+6</c></s><img path="Assets\Textures\btn-ability-slaynelemental-solaritecocoon.dds" height="28" width="28"/>
When a nearby enemy unit dies, Alarak heals himself for 20 life and 20 shields per the unit's supply.<n/><n/>Alarak steals life from nearby units you control to heal himself when he is near death. This ability has no cooldown.	Cuando muere una unidad enemiga cercana, Alarak se sana 20 de vida y se restaura 20 de escudos según los puntos de suministros de la unidad.<n/><n/>Alarak roba vida a las unidades cercanas que controlas para sanarse a sí mismo cuando está a punto de morir. Esta habilidad no tiene tiempo de reutilización.
Anti-air flyer. Can use Caustic Spray. Can morph into a Brood Lord.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>	Unidad voladora antiaérea. Puede utilizar lluvia cáustica. Puede mutar en señor de la prole.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas.</c>
Spawn an invulnerable locust nest anywhere on the map that will spawn <d ref="9"/> locusts over <d ref="Behavior,LocustNestTimedLife,Duration"/> seconds.	Engendra un nido de langostas invulnerable en cualquier lugar del mapa que engendrará <d ref="9"/> langostas durante <d ref="Behavior,LocustNestTimedLife,Duration"/> segundos.
Spawns a Toxic Nest that generates creep and can explode to deal <d ref="Effect,ToxicNestExplodeDamage,Amount" player="current"/> damage to all nearby ground enemies.	Engendra un nido tóxico que genera biomateria y puede explotar e infligir <d ref="Effect,ToxicNestExplodeDamage,Amount" player="current"/> de daño a todos los enemigos terrestres cercanos.
Spawns a Toxic Nest that generates creep and can explode to deal <d ref="Effect,ToxicNestExplodeDamage,Amount" player="current"/> damage to all nearby ground enemies. Enemies damaged by Toxic Nests drop 50% additional Biomass and have attack and movement speeds slowed. Cannot be targeted by enemies. Toxic Nests have a <d ref="Behavior,MasteryAbathurToxicNestRespawn,DamageResponse.Chance*100" player="current"/>% chance to respawn after detonating. Stores up to <d ref="Abil,SpawnToxicNest,InfoArray[Build1].Charge.CountMax" player="current"/> charges.	Engendra un nido tóxico que genera biomateria y puede explotar e infligir <d ref="Effect,ToxicNestExplodeDamage,Amount" player="current"/> de daño a todos los enemigos terrestres cercanos. Los enemigos dañados por nidos tóxicos sueltan un 50% más de biomasa y reducen su velocidad de ataque y movimiento. No puede ser atacado por el enemigo. Los nidos tóxicos tienen un <d ref="Behavior,MasteryAbathurToxicNestRespawn,DamageResponse.Chance*100" player="current"/>% de probabilidad de reaparecer tras explotar. Puede acumular hasta <d ref="Abil,SpawnToxicNest,InfoArray[Build1].Charge.CountMax" player="current"/> cargas.
Calls down <d ref="Effect,SpecialDeliveryCU,SpawnCount" player="current"/> A.R.E.S. War Bots, stunning enemy ground units in the drop zone. The War Bots are controllable and fight for <d ref="Behavior,ARESTimedLife,Duration" player="current"/> seconds.	Solicita <d ref="Effect,SpecialDeliveryCU,SpawnCount" player="current"/> robots de guerra A.R.E.S. que aturden a las unidades terrestres enemigas en la zona de aterrizaje. Los robots de guerra se pueden controlar y luchan durante <d ref="Behavior,ARESTimedLife,Duration" player="current"/> segundos.
Calls down 6 A.R.E.S. War Bots, stunning enemy ground units in the drop zone. The War Bots are controllable and fight for <d ref="Behavior,ARESTimedLife,Duration"/> seconds.	Solicita 6 robots de guerra A.R.E.S. que aturden a las unidades terrestres enemigas en la zona de aterrizaje. Los robots de guerra se pueden controlar y luchan durante <d ref="Behavior,ARESTimedLife,Duration"/> segundos.
Takes control of the target unit. Domination lasts until the controlled unit is destroyed or released.	Toma el control de la unidad objetivo. Dominación dura hasta que la unidad controlada muere o es liberada.
Arms the Silo with a Tactical Nuke.<n/><n/>Nukes take <d time="10"/> to land, but they deal 300 (+200 vs. structures) damage in a large radius.<n/><n/>Use a Spectre to designate the target.	Arma el silo con una bomba nuclear táctica.<n/><n/>Las bombas nucleares tardan <d time="10"/> en impactar, pero infligen 300 (+200 a estructuras) de daño a los enemigos dentro de un amplio radio.<n/><n/>Utiliza un ánima para designar el objetivo.
Calls down a Nuclear Strike at a target location. Nukes take <d time="10"/> to land, but they deal up to 300 (+200 vs. structures) damage to enemies in a large radius.	Solicita un ataque nuclear en una ubicación seleccionada. Las bombas nucleares tardan <d time="10"/> en impactar, pero infligen hasta 300 (+200 a estructuras) de daño a los enemigos dentro de un amplio radio.
Spawning Pool allows you to mutate Drones into Spore Crawlers.	La reserva de reproducción te permite mutar zánganos en reptadores de esporas.
Special infested that can temporarily lock down structures. Increases the movement speed and life regeneration of nearby friendly units.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Infestado especial que puede bloquear estructuras temporalmente. Aumenta la velocidad de movimiento y la regeneración de vida de las unidades amistosas cercanas. <n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
Increases the Medic's healing speed and allows them to heal mechanical units. Units being healed by Medics take <d ref="-Behavior,RaynorMedicSafeguard,Modification.DamageTakenFraction[Melee]*100"/>% less damage.	Aumenta la velocidad de sanación de las médicos y les permite sanar a unidades mecánicas. Las unidades a las que estén sanando las médicos reciben un <d ref="-Behavior,RaynorMedicSafeguard,Modification.DamageTakenFraction[Melee]*100"/>% menos de daño.
Teleports the Stalker to a nearby target location. Ability can only be used once every <d ref="Abil,Blink,Cost[0].Cooldown.TimeUse"/> seconds.	Teletransporta al acechador a una ubicación seleccionada cercana. La habilidad solo puede usarse una vez cada <d ref="Abil,Blink,Cost[0].Cooldown.TimeUse"/> segundos.
Ranged support strider. Using Blink provides a shield restore.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Zancudo de apoyo a distancia. Utilizar traslación restaura escudos.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Ranged support strider. Can automatically use Predictive Blink when threatened.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Zancudo de apoyo a distancia. Puede utilizar automáticamente traslación predictiva si se ve amenazado.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Heavy assault special infested. Can leap into the air and stun enemy units upon landing. Resistant to sunlight.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Infestado especial de asalto pesado. Puede saltar y aturdir a unidades enemigas al caer. Es resistente a la luz solar.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
Warps in Protoss air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Mirages	Invoca unidades aéreas protoss.<n/><n/><c val="ffff8a">Permite:</c><n/>- Espejismos
Enables warp in of Protoss air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Phoenixes	Permite invocar unidades aéreas protoss.<n/><n/><c val="ffff8a">Permite:</c><n/>- Fénix
Injects the unit with powerful stimulants that greatly increase attack and movement speeds for <d ref="Behavior,Stimpack,Duration" precision="1"/> seconds. Injures the unit for <d ref="Abil,Stimpack,Cost[0].Vital[Life]"/> of the unit's life.	Inyecta a la unidad potentes estimulantes que aumentan considerablemente su velocidad de ataque y de movimiento durante <d ref="Behavior,Stimpack,Duration" precision="1"/> segundos. Inflige a la unidad <d ref="Abil,Stimpack,Cost[0].Vital[Life]"/> puntos de daño.
Unit takes 20 damage. Fires and moves 50% faster for 15 seconds.	La unidad sufre 20 de daño. Dispara y se mueve un 50% más rápido durante 15 segundos.
Injects the unit with powerful stimulants that greatly increase attack and movement speeds for <d ref="Behavior,Stimpack,Duration" precision="1"/> seconds. Injures the unit for <d ref="Abil,StimpackMarauder,Cost[0].Vital[Life]"/> of the unit's life.	Inyecta a la unidad potentes estimulantes que aumentan considerablemente su velocidad de ataque y de movimiento durante <d ref="Behavior,Stimpack,Duration" precision="1"/> segundos. Inflige a la unidad <d ref="Abil,StimpackMarauder,Cost[0].Vital[Life]"/> puntos de daño.
Orders Marines, Marauders, and Firebats inside of the Bunker to use Stimpacks. They will take damage and have increased attack speed as normal.	Ordena usar paquetes de estimulantes a los soldados, persecutores y murciélagos de fuego que estén dentro del búnker. Sufrirán daño y tendrán más velocidad de ataque como de costumbre.
Enables <c val="ffff8a">Marines</c>, <c val="ffff8a">Marauders</c>, and <c val="ffff8a">Firebats</c> to use the Stimpack ability. Stimpacks cause damage to a unit, but they increase its attack and movement speeds for a short time.	Permite que los <c val="ffff8a">soldados</c>, <c val="ffff8a">persecutores</c> y <c val="ffff8a">murciélagos de fuego</c> usen la habilidad paquete de estimulantes. Los paquetes infligen daño a la unidad, pero aumentan brevemente su velocidad de movimiento y ataque.
A list of advanced Infested Terran and Zerg structures.	Una lista de estructuras avanzadas infestadas terran y zerg.
Powerful Infested Battlecruiser. Can use Explode Infested and Neural Parasite.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Poderoso crucero de batalla infestado. Puede usar las habilidades explosionar infestado y parásito neural.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
Reduces the damage taken by nearby friendly units by <d ref="-100*Behavior,StukovAleksanderInfestedSwarmTarget,Modification.DamageTakenFraction[Melee]"/>%.	Reduce un <d ref="-100*Behavior,StukovAleksanderInfestedSwarmTarget,Modification.DamageTakenFraction[Melee]"/>% el daño que reciben las unidades amistosas cercanas.
Fire a corrupted Tamato blast	Envía una explosión de cañón yamato corrupto.
Heavy assault beast fused with Terran weaponry. Has an area-damage attack. Can use Cluster Rockets and Burrow Charge.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Bestia de asalto pesada equipada con armas terran. Tiene un ataque de daño de área. Puede utilizar cohetes de racimo y carga subterránea.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
A list of Infested Terran and Zerg structures.	Una lista de estructuras infestadas terran y zerg.
Infested Banshees regenerate 20 life and energy per second while burrowed.	Las átropos infestadas regeneran 20 de vida y de energía por segundo mientras están enterradas.
Infested Banshees gain +100 life.	Las átropos infestadas obtienen +100 de vida.
Infested Civilians spawn a Broodling when they die.	Los civiles infestados engendran una cría al morir.
Brings a target enemy air unit to the ground, allowing units to attack it as if it were a ground unit.	Derriba a la unidad aérea enemiga seleccionada, lo que permite a las unidades atacarla como si fuera una unidad terrestre.
Allows Infested Civilians to quickly leap toward nearby enemy ground units.	Permite a los civiles infestados saltar rápidamente hacia las unidades terrestres enemigas cercanas.
Artillery fighter. Deals damage by rapidly transforming into a swarm of smaller organisms.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>	Caza de artillería. Inflige daño transformándose rápidamente en un enjambre de organismos más pequeños.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas.</c>
Liberator attacks deal area damage.	Los ataques del liberador infligen daño de área.
Liberators are immune while attacking.	Los liberadores son inmunes mientras atacan.
Heavy tank. Can uproot itself to provide mobile tank support. Can use the Deep Tunnel ability to travel quickly to any visible location with creep.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Tanque pesado. Puede desarraigarse para ofrecer apoyo móvil. Puede usar la habilidad túnel profundo para desplazarse rápidamente a cualquier ubicación visible con biomateria.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
