Amorphous Armorcloud	Amorphe Deckungswolke
Creates a storm of psionic energy that lasts <d ref="Effect,KarassPsiStormPersistent,PeriodCount*Effect,KarassPsiStormPersistent,PeriodicPeriodArray[0]+Behavior,KarassPsiStorm,Duration"/> seconds, dealing <d ref="(Effect,KarassPsiStormPersistent,PeriodCount+2)*Effect,KarassPsiStormDamage,Amount"/> damage to all enemy units and restoring <d ref="Effect,KarassPsiStormPersistent,PeriodCount+1)*Effect,TelbrusPsiStormHeal,RechargeVitalRate*Effect,TelbrusPsiStormHeal,PeriodCount*Effect,TelbrusPsiStormHeal,PeriodicPeriod"/> shields to all friendly units in a large target area.	Erzeugt einen Sturm aus Psi-Energie, der <d ref="Effect,KarassPsiStormPersistent,PeriodCount*Effect,KarassPsiStormPersistent,PeriodicPeriodArray[0]+Behavior,KarassPsiStorm,Duration"/> Sek. lang anhält und allen gegnerischen Einheiten in einem großen Zielgebiet bis zu <d ref="(Effect,KarassPsiStormPersistent,PeriodCount+2)*Effect,KarassPsiStormDamage,Amount"/> Schaden zufügt und bei verbündeten Einheiten bis zu <d ref="Effect,KarassPsiStormPersistent,PeriodCount+1)*Effect,TelbrusPsiStormHeal,RechargeVitalRate*Effect,TelbrusPsiStormHeal,PeriodCount*Effect,TelbrusPsiStormHeal,PeriodicPeriod"/> Schildpunkte wiederherstellt.
Kerrigan dashes through enemies, dealing <d ref="Effect,PsiStrikeDamage,Amount"/> damage to all enemies in her path.	Kerrigan stürmt durch die gegnerischen Reihen und fügt allen Gegnern auf ihrem Weg <d ref="Effect,PsiStrikeDamage,Amount"/> Schaden zu.
Enemies in target area are stunned and take <d ref="Effect,PsionicLiftPeriodicDamage,Amount*Effect,PsionicLiftDoT,Duration/Behavior,PsionicLiftDoT,Period"/> damage over <d time="[d ref='Effect,PsionicLiftControllerShort,Duration'/]"/>.<n/><n/><c val="ffff8a">Heroic units are slowed.</c>	Gegner im Zielgebiet werden betäubt und erleiden im Verlauf von <d time="[d ref='Effect,PsionicLiftControllerShort,Duration'/]"/> <d ref="Effect,PsionicLiftPeriodicDamage,Amount*Effect,PsionicLiftDoT,Duration/Behavior,PsionicLiftDoT,Period"/> Schaden.<n/><n/><c val="ffff8a">Heroische Einheiten werden verlangsamt.</c>
Zeratul gains additional shields, increased Shadow Cleave damage, and additional charges of Blink with each Artifact Fragment he finds.	Jedes gefundene Xel'Naga-Artefaktbruchstück gewährt Zeratul zusätzliche Schilde, erhöhten Schaden mit der Fähigkeit "Schattenschlitzer" und zusätzliche Aufladungen für seine Fähigkeit "Transit".
Heals a biological unit or structure for <d ref="Effect,QueenBurstHeal,VitalArray[Life].Change*(Behavior,QueenBurstHeal,Duration +.07)/Behavior,QueenBurstHeal,Period"/> life over time.	Heilt eine biologische Einheit oder Struktur mit der Zeit um <d ref="Effect,QueenBurstHeal,VitalArray[Life].Change*(Behavior,QueenBurstHeal,Duration +.07)/Behavior,QueenBurstHeal,Period"/> Trefferpunkte.
Increases a friendly unit's sight range by <d ref="Behavior,QueenClassicParasite,Modification.SightBonus"/> and grants it the ability to detect cloaked and burrowed units for <d ref="Behavior,QueenClassicParasite,Duration"/> seconds.	Verleiht einer verbündeten Einheit <d ref="Behavior,QueenClassicParasite,Duration"/> Sek. lang Detektoreigenschaften, mit der sie getarnte und eingegrabene Einheiten aufdecken kann, und erhöht ihren Sichtradius um <d ref="Behavior,QueenClassicParasite,Modification.SightBonus"/>.
Defensive unit. Can use Spawn Larvae, Spawn Creep Tumor, and Transfusion. Moves much faster on creep.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Verteidigungseinheit. Kann Kriechertumore und Larven erschaffen und die Fähigkeit "Transfusion" einsetzen. Bewegt sich auf Kriecher viel schneller.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>
Kills target enemy ground or air unit and spawns <d ref="Effect,QueenMPSpawnBroodlingsCreate,SpawnCount"/> Broodlings from its corpse.<n/></n><c val="#ColorAttackInfo">Massive units and heroic units are immune.	Tötet eine gegnerische Boden- oder Lufteinheit und lässt aus ihrem Körper <d ref="Effect,QueenMPSpawnBroodlingsCreate,SpawnCount"/> Brütlinge schlüpfen.<n/></n><c val="#ColorAttackInfo">Massive und heroische Einheiten sind gegen diesen Effekt immun.
Spawning Pool allows you to birth Queens from Hatcheries, Lairs, and Hives.	Der Brutschleimpool ermöglicht die Erschaffung von Königinnen in Brutstätten, Bauen oder Schwarmstöcken.
Deals <d ref="Effect,QueenStukovSpawnBroodlingsDamage,Amount"/> damage to a target enemy unit. When the unit dies, it will spawn <d ref="Effect,QueenStukovSpawnBroodlingsCreateUnit,SpawnCount"/> Broodlings from its corpse.	Fügt einer gegnerischen Zieleinheit <d ref="Effect,QueenStukovSpawnBroodlingsDamage,Amount"/> Schaden zu. Wenn die Einheit stirbt, schlüpfen <d ref="Effect,QueenStukovSpawnBroodlingsCreateUnit,SpawnCount"/> Brütlinge aus ihrer Leiche.
Sends constructed units to the designated point. Workers rallied to resources will begin gathering automatically.	Schickt erstellte Einheiten zum festgelegten Punkt. Arbeiter, die zu Ressourcen geschickt werden, beginnen automatisch mit dem Abbau.
Sends morphed worker units and Overlords to the designated point. Workers rallied to Mineral Fields or Extractors will begin gathering automatically.	Schickt erschaffene Arbeiter und Overlords zum festgelegten Punkt. Arbeiter, die zu Ressourcen geschickt werden, beginnen automatisch mit dem Abbau.
Sends worker units to the designated point. Workers rallied to Mineral Fields or Extractors will begin gathering automatically.	Schickt Arbeiter zum festgelegten Punkt. Arbeiter, die zu Ressourcen geschickt werden, beginnen automatisch mit dem Abbau.
Sends the Legendary Legion to the designated point.	Schickt die legendäre Legion zum ausgewählten Punkt.
The Hercules deploys loaded troops twice as fast.	Herkules-Transporter setzen ihre geladenen Truppen doppelt so schnell ab.
The Research Vessel deploys loaded troops almost instantly.	Forschungsschiffe setzen ihre Ladung fast augenblicklich ab.
Launch a missile at the target location, dealing <d ref="Effect,RavagerCorrosiveBileAoeDamage,Amount"/> damage to enemy units in the area upon impact.<n/><n/><c val="#ColorAttackInfo">Can destroy Protoss Force Fields.</c>	Feuert ein Geschoss auf das Zielgebiet ab, das gegnerischen Einheiten im Einschlagsbereich <d ref="Effect,RavagerCorrosiveBileAoeDamage,Amount"/> Schaden zufügt.<n/><n/><c val="#ColorAttackInfo">Zerstört Protoss-Kraftfelder.</c>
Roach Warren enables you to morph Ravagers from Roaches.	Die Schabenhöhle ermöglicht die Metamorphose von Schaben zu Verheerern.
Increases the healing of the Bio-Mechanical Repair Drone by 25% and allows it to cloak units that it is currently healing.	Erhöht die Heilung der Biomechanischen Reparaturdrohne um 25% und erlaubt ihr, Einheiten zu tarnen, während sie sie heilt.
[ph]Disables a target unit rendering it unable to attack or use abilities for <d ref="Behavior,RavenScramblerMissile,Duration"/> seconds. Reveals Cloaked units.<n/><n/><c val="#ColorAttackInfo">Can only target mechanical units.</c>	Deaktiviert die Elektronik einer anvisierten Einheit und legt sie vorübergehend für <d ref="Behavior,RavenScramblerMissile,Duration"/> lahm, sodass sie weder angreifen noch Fähigkeiten einsetzen kann. Deckt getarnte Einheiten auf.<n/><n/><c val="#ColorAttackInfo">Kann nur mechanische Einheiten anvisieren.</c>
[ph]Deploys a Shredder Missile which pursues the target unit dealing <d ref="Effect,RavenShredderMissileDamage,Amount"/> splash damage upon contact, and reduces armor of affected units by <d ref="Behavior,RavenShredderMissileArmorReduction,Modification.LifeArmorBonus*(-1)"/> for <d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> seconds.	Entsendet eine Panzerabwehrrakete, die die Zieleinheit verfolgt. Beim Aufprall verursacht die Rakete <d ref="Effect,RavenShredderMissileDamage,Amount"/> Flächenschaden und verringert die Panzerung von getroffenen Einheiten <d ref="Behavior,RavenShredderMissileArmorReduction,Duration"/> Sek. lang um <d ref="Behavior,RavenShredderMissileArmorReduction,Modification.LifeArmorBonus*(-1)"/>.
Prototype aerial support unit. Can use Railgun Turret, Bio-Mechanical Repair Drone, and Predator Missile.<n/><n/><c val="FFE303">Detector</c>	Fliegender Unterstützungsprototyp. Kann die Fähigkeiten "Railgun-Geschütz", "Biomechanische Reparaturdrohne" und "Predator-Rakete" einsetzen.<n/><n/><c val="FFE303">Detektor</c>
Raider. Capable of jumping up and down cliffs. <n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Kommandoeinheit. Kann Klippen hinauf- und herunterspringen.<n/><n/><c val="#ColorAttackInfo">Kann Bodeneinheiten angreifen.</c>
Upon taking fatal damage, friendly cloaked or burrowed units are recalled to their owner's primary structure. This effect cannot occur more than once every <d ref="Behavior,SOARecallOnDeathRecentlyRecalled,Duration"/> seconds.<n/><n/><c val="ffff8a">Passive ability.</c>	Wenn sie tödlichen Schaden erleiden, werden alle permanent getarnten oder eingegrabenen verbündeten Einheiten zum Hauptgebäude ihrer Besitzer zurückgerufen. Dieser Effekt kann nur einmal alle <d ref="Behavior,SOARecallOnDeathRecentlyRecalled,Duration"/> Sek. auftreten.<n/><n/><c val="ffff8a">Passive Fähigkeit.</c>
Gigantic lava worm. Burrows through the planet's crust. Breathes fire and spits molten lava.	Ein riesiger Lavawurm, der sich durch die Kruste des Planeten gräbt. Speit Feuer und spuckt flüssige Lava.
Vehicles slowly regenerate life.	Fahrzeuge regenerieren allmählich Trefferpunkte.
The Drakken Laser Drill has been damaged and will take some time to repair.	Der Drakken-Laserbohrer wurde beschädigt. Seine Reparatur wird eine gewisse Zeit in Anspruch nehmen.
The Solar Forge has been damaged and will take some time to repair.	Die Solarschmiede wurde beschädigt. Die Reparatur wird einige Zeit benötigen.
Allows <c val="ffff8a">Thors</c> to use the 330mm Barrage Cannon ability.	Ermöglicht <c val="ffff8a">Thoren</c> den Einsatz der Fähigkeit "330mm-Sperrfeuerkanone".
You gain 2 charges of Toxic Nest and the cooldown is reduced by 5 seconds.	Gewährt 2 Giftnest-Aufladungen und verringert die Abklingzeit um 5 Sek.
Swarm Host's Locusts can attack air.	Schwarmwirte können mit ihren Schrecken jetzt Lufteinheiten angreifen.
Increases Mutalisk Life by 25. Can upgrade 10 times.	Erhöht die Trefferpunkte von Mutalisken um 25. 10 Upgrades möglich.
When Carapace is activated, all nearby allied units also gain Carapace.	Wenn die Fähigkeit "Panzer" aktiviert wird, erhalten alle verbündeten Einheiten ebenfalls Panzer.
Increases Roach Max Range by 1. Can upgrade 10 times.	Erhöht die max. Reichweite von Schaben um 1. 10 Upgrades möglich.
<c val="ffff8a">Adept</c> attacks summon an invulnerable Shade that will attack enemies for a short time.	Angriffe von <c val="ffff8a">Adepten</c> erschaffen einen unverwundbaren Schatten, der für kurze Zeit Feinde angreift.
Enemies that touched by the Adept's Shade take <d ref="Effect,AdeptPsionicTransferDamage,Amount"/> extra damage from all sources for <d ref="Behavior,AdeptPsionicTransferDamageDebuff,Duration"/> seconds.	Gegner, die vom Abbild des Adepten berührt werden, erleiden <d ref="Behavior,AdeptPsionicTransferDamageDebuff,Duration"/> Sek. lang <d ref="Effect,AdeptPsionicTransferDamage,Amount"/> zusätzlichen Schaden aus allen Quellen.
The <c val="ffff8a">Medivac/c> can heal two targets at once.	<c val="ffff8a">Medivacs</c> können zwei Ziele gleichzeitig heilen.
Allows <c val="ffff8a">Alarak's</c> attacks to stun enemy units for <d ref="Behavior,AlarakBaneBladesStun,Duration"/> seconds.</n></n><c val="ffff8a">Heroic units are slowed.</c>	<c val="ffff8a">Alaraks</c> Angriffe betäuben gegnerische Einheiten <d ref="Behavior,AlarakBaneBladesStun,Duration"/> Sek. lang.</n></n><c val="ffff8a">Heroische Einheiten werden verlangsamt.</c>
Allows <c val="ffff8a">Wrathwalkers</c> to attack air units.	Ermöglicht es <c val="ffff8a">Zornbringern</c>, Lufteinheiten anzugreifen.
Reduces the charging time and weapon speed of the <c val="ffff8a">Wrathwalker's</c> Charged Blast.	Verringert die Aufladezeit und Waffengeschwindigkeit des Energiestoßes von <c val="ffff8a">Zornbringern</c>.
Increases the knockback distance of <c val="ffff8a">Alarak's</c> Destruction Wave by 100%.	Erhöht die Rückstoßdistanz von <c val="ffff8a">Alaraks</c> Zerstörungswelle um 100%.
Increases the radius of the <c val="ffff8a">Havoc's</c> Squad Sight and the range of Target Lock and Force Field.	Erhöht den Radius der Fähigkeit "Sichtkoordination" und die Reichweite der Fähigkeiten "Zielerfassung" und "Kraftfeld" des <c val="ffff8a">Aggressors</c>.
<c val="ffff8a">Ascendants</c> permanently gain +<d ref="Behavior,AscendantSacrificeSelfBuff,Modification.DamageDealtFraction[Spell]*100"/>% ability damage and +<d ref="Behavior,AscendantSacrificeSelfBuff,Modification.VitalMaxArray[Shields]"/> shields each time they use Sacrifice.<n/><n/>This effect stacks up to a maximum of <d ref="Behavior,AscendantSacrificeSelfBuff,MaxStackCount"/>.	<c val="ffff8a">Aspiranten</c> erhalten jedes Mal, wenn sie die Fähigkeit "Opfern" einsetzen, dauerhaft <d ref="Behavior,AscendantSacrificeSelfBuff,Modification.DamageDealtFraction[Spell]*100"/>% Fähigkeitsschaden und <d ref="Behavior,AscendantSacrificeSelfBuff,Modification.VitalMaxArray[Shields]"/> Schildpunkte zusätzlich.<n/><n/>Dieser Effekt ist bis zu <d ref="Behavior,AscendantSacrificeSelfBuff,MaxStackCount"/>-mal stapelbar.
Increases the travel distance of the <c val="ffff8a">Ascendant's </c>Psionic Orb by 25%.	Erhöht die Reichweite der Fähigkeit "Psi-Sphäre" des <c val="ffff8a">Aspiranten</c> um 25%.
Increases Psionic Orb's travel distance by 25%.	Erhöht die Reichweite der Fähigkeit "Psi-Sphäre" um 25%.
Causes the Stalker's Blink to deal damage and knockback enemies.	Die Fähigkeit "Transit" des Henkers verursacht Schaden und stößt Gegner zurück.
<c val="ffff8a">Supplicants</c> gain +<d ref="Effect,AlarakSupplicantMaxShieldsDisplayDummy,Amount"/> shields.	<c val="ffff8a">Heloten</c> erhalten zusätzlich <d ref="Effect,AlarakSupplicantMaxShieldsDisplayDummy,Amount"/> Schildpunkte.
Increases the damage bonus from the <c val="ffff8a">Havoc's</c> Target Lock by an additional 15%.	Erhöht den Schadensbonus durch die Fähigkeit "Zielerfassung" des <c val="ffff8a">Aggressors</c> um weitere 15%.
Increases the area of the <c val="ffff8a">Vanguard's</c> splash damage by <d ref="($UpgradeEffectArrayValue:AlarakVanguardIncreaseSplashArea:Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius$/Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius-1)*100" player="0"/>%	Erhöht den Bereich des Flächenschadens von <c val="ffff8a">Todgeweihten</c> um <d ref="($UpgradeEffectArrayValue:AlarakVanguardIncreaseSplashArea:Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius$/Effect,ImmortalTaldarimWeaponSearch,AreaArray[0].Radius-1)*100" player="0"/>%.
Allows Zealots to attack enemies with a flurry of attacks and regenerate shields with each attack.	Ermöglicht es Berserkern, Gegner mit einem Hagel von Schlägen anzugreifen und stellt mit jedem Angriff Schildpunkte her.
Increases the <c val="ffff8a">Goliath's</c> anti-air weapon range by 3 and its ground weapon range by 1.	Erhöht die Reichweite der Luftabwehr von <c val="ffff8a">Goliaths</c> um 3 und die Reichweite von Bodenangriffen um 1.
Increases the <c val="ffff8a">Strike Goliath's</c> anti-air weapon range by 3 and its ground weapon range by 1.	Erhöht die Reichweite der Luftabwehr von <c val="ffff8a">Taktischen Goliaths</c> um 3 und die Reichweite von Bodenangriffen um 1.
<c val="ffff8a">Infested Siege Tanks</c> automatically spawn 1 round of Volatile Biomass every <d ref="Behavior,InfestedSiegeTankAmmoAuto,Period"/> seconds.	<c val="ffff8a">Verseuchte Belagerungspanzer</c> erschaffen alle <d ref="Behavior,InfestedSiegeTankAmmoAuto,Period"/> Sek. 1 Ladung instabiler Biomasse.
Enables <c val="ffff8a">Banshees</c> to use the Cloak ability. Cloak renders the <c val="ffff8a">Banshee</c> invisible to enemies unless the unit is revealed by detectors or effects. Cloaked <c val="ffff8a">Banshees</c> also have their range increased by 2.	Ermöglicht <c val="ffff8a">Banshees</c> den Einsatz der Fähigkeit "Tarnen". "Tarnen" macht die <c val="ffff8a">Banshee</c> für Feinde unsichtbar, bis sie durch Detektoreinheiten oder -effekte aufgedeckt wird. Erhöht außerdem die Waffenreichweite getarnter <c val="ffff8a">Banshees</c> um 2.
Allows <c val="ffff8a">Covert Banshees</c> to use Rocket Barrage, which deals <d ref="Effect,Banshee_BlackOpsAirstrikeDamage,Amount"/> damage to enemy ground units in the target area.	Ermöglicht <c val="ffff8a">Tarnkappen-Banshees</c> den Einsatz der Fähigkeit "Raketenbeschuss", die feindlichen Bodeneinheiten im Zielgebiet <d ref="Effect,Banshee_BlackOpsAirstrikeDamage,Amount"/> Schaden zufügt.
Increases the amount of damage absorbed by the <c val="ffff8a">Immortal's</c> Barrier by 100%.	Erhöht die Menge des von der Barriere des <c val="ffff8a">Unsterblichen</c> absorbierten Schadens um 100%.
Teleports the <c val="ffff8a">Stalker</c> to a nearby target location. Ability can only be used once every <d ref="Abil,BlinkShieldRestore,Cost[0].Cooldown.TimeUse"/> seconds.	Teleportiert den <c val="ffff8a">Hetzer</c> zu einer nahe gelegenen Zielposition. Diese Fähigkeit kann nur alle <d ref="Abil,BlinkShieldRestore,Cost[0].Cooldown.TimeUse"/> Sek. eingesetzt werden.
Blink now cloaks the <c val="ffff8a">Stalker</c> and restores <d ref="Effect,VoidStalkerBlinkRestoreModifyUnit,VitalArray[Shields].Change*(Behavior,VoidStalkerBlinkShieldRestore,Duration/Behavior,VoidStalkerBlinkShieldRestore,Period)"/> shields over <d ref="Behavior,VoidStalkerBlinkShieldRestore,Duration"/> seconds.	Die Fähigkeit "Transit" tarnt <c val="ffff8a">Hetzer</c> nach ihrem Einsatz <d ref="Behavior,VoidStalkerBlinkShieldRestore,Duration"/> Sek. lang und regeneriert währenddessen <d ref="Effect,VoidStalkerBlinkRestoreModifyUnit,VitalArray[Shields].Change*(Behavior,VoidStalkerBlinkShieldRestore,Duration/Behavior,VoidStalkerBlinkShieldRestore,Period)"/> Schildpunkte.
