Amorphous Armorcloud	Nimboarmadura amorfa
Places enemy units in target area into stasis for <d ref="Behavior,ArbiterMPStasisField,Duration"/> seconds. Units in stasis cannot move, attack, be attacked or be affected by abilities.	Coloca a las unidades enemigas del área objetivo en estasis durante <d ref="Behavior,ArbiterMPStasisField,Duration"/> segundos. Las unidades que están en estasis no pueden moverse ni atacar, y no pueden recibir ataques ni ser objetivo de habilidades.
Builds Interdictors that automatically bomb enemy ground units for <d ref="Effect,FenixClolarionBomberDamage,Amount - Effect,FenixNetworkedSuperiorityCarrier,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityCarrier,Amount" precision="1"/>)</c> damage.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Construye Interdictores que bombardean automáticamente a las unidades terrestres enemigas y les infligen <d ref="Effect,FenixClolarionBomberDamage,Amount - Effect,FenixNetworkedSuperiorityCarrier,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityCarrier,Amount" precision="1"/>)</c> de daño.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
<n/><n/><c val="00ffff">Tactical Data Web</c><n/>Interdictor damage is increased by <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityCarrier:Effect,FenixNetworkedSuperiorityCarrier,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Carrier,Food*(-1)"/> for each networked Carrier (up to <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityCarrier:Effect,FenixNetworkedSuperiorityCarrier,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> damage).	<n/><n/><c val="00ffff">Red de datos tácticos</c><n/>El daño del Interdictor aumenta en <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityCarrier:Effect,FenixNetworkedSuperiorityCarrier,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Carrier,Food*(-1)"/> por cada Portanaves en red (hasta un máximo de <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityCarrier:Effect,FenixNetworkedSuperiorityCarrier,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> de daño).
Purifier Faction<n/>A famed executor who led the ancient Purifiers in their rebellion against the Conclave. Builds Interceptors to attack enemies. Solar Beam attacks air units and does more damage over time.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Facción de los Purificadores<n/>Un ejecutor reconocido que lideró a los antiguos Purificadores en su rebelión contra el Cónclave. Construye Interceptores para atacar a los enemigos. El Rayo solar ataca a las unidades aéreas e inflige más daño con el tiempo.<n/><n/><c val="ffff8a">Ataca a unidades terrestres y aéreas.</c>
Clolarion is on the battlefield.<n/><n/>Host Shells available: <c val="00ffff"><d ref="Effect,FenixChampionShellCountCarrier,Amount" player="current"/></c>	Clolarion está en el campo de batalla.<n/><n/>Corazas receptoras disponibles: <c val="00ffff"><d ref="Effect,FenixChampionShellCountCarrier,Amount" player="current"/></c>
Warp in a Carrier to provide Clolarion a host shell.	Transposiciona un Portanaves para brindarle una coraza receptora a Clolarion.
Ready Clolarion' A.I. Personality for download into any available Carrier shell.	Preparar la personalidad de IA de Clolarion para descargarla en cualquier Portanaves receptor disponible.
Clolarion' A.I. Personality downloads into any available Carrier shell.	La personalidad de IA de Clolarion se descarga en cualquier Portanaves receptor disponible.
Builds Interceptors that automatically attack Clolarion's target.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Construye Interceptores que atacan automáticamente al objetivo de Clolarion.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
The damage of Clolarion's Solar Beam increases the longer Clolarion remains on a single target.	El daño del Rayo solar de Clolarion aumenta cuanto más tiempo permanezca Clolarion sobre un objetivo único.
Fenix's Praetor Armor Suit is configured for heavy ground assault, capable of area attacks and absorbing damage. Can use Thunderous Charge, Whirlwind, and Shield Capacitor.<n><n><c val="ffff8a">Can attack ground units.</c>	El Traje de armadura de pretor de Fénix está configurado para asaltos terrestres pesados. Puede realizar ataques de área y absorber daño. Puede usar Carga estruendosa, Torbellino y Capacitor de escudos.<n><n><c val="ffff8a">Ataca a unidades terrestres.</c>
Fenix's Solarite Dragoon Suit is configured for long range attacks and devastating abilities. Can use Solar Cannon, Solarite Flare, and Arsenal Overcharge.<n><n><c val="ffff8a">Can attack ground and air units.</c>	El Traje de dragún de solario de Fénix está configurado para los ataques de largo alcance y para utilizar habilidades devastadoras. Puede usar Cañón solar, Bengala de solario y Sobrecarga de arsenal.<n><n><c val="ffff8a">Ataca a unidades terrestres y aéreas.</c>
Fires an air-bursting flare that deals <d ref="Effect,FenixDragoonAirBombAirDamage,Amount"/> damage to enemy air units.	Dispara una bengala que explota en el aire e inflige <d ref="Effect,FenixDragoonAirBombAirDamage,Amount"/> de daño a las unidades enemigas aéreas.
<n><n><c val="F0FD02">Overcharged!</c> Can be cast without cooldown while Arsenal Overcharge is active.	<n><n><c val="F0FD02">¡Sobrecargado!</c> Puede lanzarse sin tiempo de recuperación cuando Sobrecarga de arsenal se encuentra activa.
Activating Arsenal Overcharge causes your damaging abilities to have no cooldown for <d ref="Behavior,ChargeBuster,Duration"/> seconds.	Activar Sobrecarga de arsenal hace que puedas utilizar las habilidades que infligen daño sin tiempo de recuperación durante <d ref="Behavior,ChargeBuster,Duration"/> segundos.
Cooldown: 60<n><n>	Tiempo de recuperación: 60<n><n>
Cooldown: 120<n><n>	Tiempo de recuperación: 120<n><n>
Your damaging abilities can be cast without cooldown while Arsenal Overcharge is active.	Tus habilidades que infligen daño pueden lanzarse sin tiempo de recuperación cuando Sobrecarga de arsenal se encuentra activa.
Deal <d ref="(Effect,FenixDragoonChargedBlastDamage,Amount*Behavior,FenixDragoonChargedBlast,PeriodCount)"/> damage to target unit or structure. <n/><n/><c val="#ColorAttackInfo">Can target ground and air units.</c>	Inflige <d ref="(Effect,FenixDragoonChargedBlastDamage,Amount*Behavior,FenixDragoonChargedBlast,PeriodCount)"/> de daño a la estructura o unidad objetivo. <n/><n/><c val="#ColorAttackInfo">Puede seleccionar unidades terrestres y aéreas como objetivo.</c>
Fires a piercing beam that deals <d ref="Effect,ChargedBusterDamage,Amount"/> damage to all enemy ground units in its path.	Dispara un rayo perforante que inflige <d ref="Effect,ChargedBusterDamage,Amount"/> de daño a todas las unidades enemigas terrestres que están a su paso.
Each attack stores <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% of the damage dealt on the target. When that unit is killed, it explodes, dealing all of the stored damage to nearby enemy units.	Cada ataque acumula un <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% del daño infligido al objetivo. Cuando esa unidad muere, explota e inflige toda la energía acumulada a las unidades enemigas cercanas.
Each attack stores <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityImmortal,Amount"/>%)</c> of the damage dealt on the target. When that unit is killed, it explodes, dealing all of the stored damage to nearby enemy units.<n/><n/><c val="00ffff">Tactical Data Web</c><n/>Gravimetric Overload stores <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityImmortal:Effect,FenixNetworkedSuperiorityImmortal,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Immortal,Food*(-1)" precision="1"/>% additional damage per attack for each networked Immortal (up to <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityImmortal:Effect,FenixNetworkedSuperiorityImmortal,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/>% damage).	Cada ataque acumula un <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityImmortal,Amount"/>%)</c> del daño infligido al objetivo. Cuando esa unidad muere, explota e inflige todo el daño acumulado a las unidades enemigas cercanas.<n/><n/><c val="00ffff">Red de datos tácticos</c><n/>Sobrecarga gravimétrica acumula un <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityImmortal:Effect,FenixNetworkedSuperiorityImmortal,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Immortal,Food*(-1)" precision="1"/>% más de daño por ataque por cada Inmortal en red (hasta un máximo de <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityImmortal:Effect,FenixNetworkedSuperiorityImmortal,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/>% de daño).
Attacks create a gravity well that pulls nearby enemy units to the target.	Los ataques crean un pozo de gravedad que atrae a las unidades enemigas cercanas al objetivo.
<c val="ffff8a">Taldarin's</c> attacks store <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% of the damage dealt on the target. When that unit is killed, it explodes, dealing all of the stored damage to nearby enemy units.	Los ataques de <c val="ffff8a">Taldarin</c> acumulan un <d ref="Effect,FenixTaldarinImmortalDetonationDummyFraction,Amount" player="0"/>% del daño infligido al objetivo. Cuando esa unidad muere, explota e inflige todo el daño acumulado a las unidades enemigas cercanas.
Purifier Faction<n>A zealot of exceptional bravery who fought in the Templar's vanguard to retake Aiur. Can use Engage to leap at enemies.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Facción de los Purificadores<n>Un zelot de un coraje excepcional que luchó en la vanguardia de los templarios para recuperar Aiur. Puede usar Enfrentar para saltar hacia los enemigos.<n/><n/><c val="ffff8a">Ataca a unidades terrestres.</c>
Kaldalis intercepts the target unit.	Kaldalis intercepta a la unidad objetivo.
Kaldalis' attacks deal <d ref="Effect,FenixKaldalisZealotPsiBladesCleave,Amount"/> damage to nearby targets.<n/><n/>	Los ataques de Kaldalis infligen <d ref="Effect,FenixKaldalisZealotPsiBladesCleave,Amount"/> de daño a los objetivos cercanos.<n/><n/>
Kaldalis' attacks deal <d ref="Effect,FenixKaldalisZealotPsiBladesCleave,Amount-Effect,FenixNetworkedSuperiorityZealot,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityZealot,Amount"/>)</c> damage to nearby targets.<n/><n/><c val="00ffff">Tactical Data Web</c><n/>Empowered Blades do an additional <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityZealot:Effect,FenixKaldalisZealotPsiBladesCleave,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,ZealotPurifier,Food*(-1)"/> damage for each networked Legionnaire (up to <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityZealot:Effect,FenixKaldalisZealotPsiBladesCleave,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> damage).	Los ataques de Kaldalis infligen <d ref="Effect,FenixKaldalisZealotPsiBladesCleave,Amount-Effect,FenixNetworkedSuperiorityZealot,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityZealot,Amount"/>)</c> de daño a los objetivos cercanos.<n/><n/><c val="00ffff">Red de datos tácticos</c><n/>Cuchillas fortalecidas infligen <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityZealot:Effect,FenixKaldalisZealotPsiBladesCleave,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,ZealotPurifier,Food*(-1)"/> más de daño por cada Legionario en red (hasta un máximo de <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityZealot:Effect,FenixKaldalisZealotPsiBladesCleave,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> de daño).
Kaldalis is on the battlefield.<n/><n/>Host Shells available: <c val="00ffff"><d ref="Effect,FenixChampionShellCountZealot,Amount" player="current"/></c>	Kaldalis está en el campo de batalla.<n/><n/>Corazas receptoras disponibles: <c val="00ffff"><d ref="Effect,FenixChampionShellCountZealot,Amount" player="current"/></c>
Warp in a Legionnaire to provide Kaldalis a host shell.	Transposiciona un Legionario para brindarle una coraza receptora a Kaldalis.
Ready Kaldalis' A.I. Personality for download into any available Legionnaire shell.	Preparar la personalidad de IA de Kaldalis para descargarla en cualquier coraza de Legionario disponible.
Creates a range 4 aura that reduces all incoming attack damage to friendly units by 2. Lasts <d time="15"/>.	Crea un aura de radio 4 que reduce en 2 el daño de todos los ataques que reciben las unidades aliadas. Dura <d time="15"/>.
Kaldalis' A.I. Personality downloads into any available Legionnaire shell.	La personalidad de IA de Kaldalis se descarga en cualquier coraza de Legionario disponible.
This ability is locked.	Esta habilidad está bloqueada.
Fire a barrage of Anti-Matter Missiles, dealing <d ref="Effect,FenixMojoScoutAOEAirDamage,Amount-Effect,FenixNetworkedSuperiorityScout,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityScout,Amount" precision="1"/>)</c> (<d ref="Effect,FenixMojoScoutAOEAirDamage,Amount+Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]-(Effect,FenixNetworkedSuperiorityScout,Amount+Effect,FenixNetworkedSuperiorityScout,AttributeBonus[Armored])"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityScout,Amount+Effect,FenixNetworkedSuperiorityScout,AttributeBonus[Armored]" precision="1"/>)</c> vs Armored) area damage and stunning nearby enemy air units for <d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>.	Dispara una andanada de Misiles antimateria que inflige <d ref="Effect,FenixMojoScoutAOEAirDamage,Amount-Effect,FenixNetworkedSuperiorityScout,Amount"/> <c val="00ffff">(+<d ref="Effect,FenixNetworkedSuperiorityScout,Amount" precision="1"/>)</c> (<d ref="Effect,FenixMojoScoutAOEAirDamage,Amount+Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]-(Effect,FenixNetworkedSuperiorityScout,Amount+Effect,FenixNetworkedSuperiorityScout,AttributeBonus[Armored])"/> <c val="00ffff"> de daño de área (+<d ref="Effect,FenixNetworkedSuperiorityScout,Amount+Effect,FenixNetworkedSuperiorityScout,AttributeBonus[Armored]" precision="1"/>)</c> contra unidades blindadas) y aturde a las unidades aéreas enemigas durante <d time="[d ref='Behavior,FenixMojoScoutAirStun,Duration'/]"/>.
<n/><n/><c val="00ffff">Tactical Data Web</c><n/>Suppression Procedure does an additional <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Scout,Food*(-1)" precision="1"/> (<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]$)*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Scout,Food*(-1)" precision="1"/> vs Armored) damage for each networked Scout (up to <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> (<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]$)*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> vs Armored) damage).	<n/><n/><c val="00ffff">Red de datos tácticos</c><n/>Procedimiento de supresión inflige <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Scout,Food*(-1)" precision="1"/> de daño por cada Explorador en red (<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]$)*Effect,FenixNetworkedSuperiorityStacksPerSupplyDummy,Amount*Unit,Scout,Food*(-1)" precision="1"/> contra unidades blindadas) (hasta un máximo de <d ref="$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> de daño (<d ref="($UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,Amount$+$UpgradeEffectArrayValue:FenixNetworkedSuperiorityScout:Effect,FenixMojoScoutAOEAirDamage,AttributeBonus[Armored]$)*Effect,FenixNetworkedSuperiorityMaxCountDummy,Amount"/> contra unidades blindadas).
