Amorphous Armorcloud	Zasłona amorficzna
This suppression tower was once a Purifier defensive system, it has now been corrupted and turned against them. Uses beams to damage and slow targets.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Ta wieża zaporowa należała niegdyś do systemu obronnego czyścicieli. Teraz została zainfekowana i obrócona przeciwko nim. Wykorzystuje promienie, które zadają obrażenia i spowalniają cele.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne i powietrzne.</c>
Increases the damage of Lock On by <d ref="$UpgradeEffectArrayValue:CycloneLockOnDamageUpgrade:Effect,LockOnCP,PeriodCount$/Effect,LockOnCP,PeriodCount*100" player="0"/>%.	Zwiększa o <d ref="$UpgradeEffectArrayValue:CycloneLockOnDamageUpgrade:Effect,LockOnCP,PeriodCount$/Effect,LockOnCP,PeriodCount*100" player="0"/>% obrażenia zadawane podczas namierzania.
Allows the <c val="ffff8a">Cyclone's</c> Typhoon Missile Pods and Lock On ability to target air units.	Pozwala pociskom Tajfun oraz samemu<c val="ffff8a">cyklonowi</c> namierzać i atakować jednostki powietrzne.
Timed explosive that does heavy area damage.	Materiały wybuchowe z zapalnikiem czasowym zadające duże obrażenia obszarowe.
Charge to target location knocking back units in the area and dealing <d ref="Effect,DehakaDakrunCrashingChargeDamage,Amount"/> damage.	Szarżuje na wskazany obszar, odrzuca znajdujące się tam jednostki i zadaje <d ref="Effect,DehakaDakrunCrashingChargeDamage,Amount"/> pkt. obrażeń.
PH	PH
Powerful attack caster. Can Confuse and Mind Control enemies.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Potężna jednostka korzystająca w walce ze zdolności. Potrafi siać zamęt wśród przeciwników i kontrolować ich umysły.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>
Permanently takes control of target enemy unit.<n/><n/><c val="#ColorAttackInfo">Heroic units are immune.</c>	Na stałe przejmuje kontrolę nad wskazaną jednostką wroga.<n/><n/><c val="#ColorAttackInfo">Nie działa na jednostki bohaterskie.</c>
Sacrifices 2 Dark Templar to create a Dark Archon.	Powoduje, że 2 mrocznych templariuszy poświęca się, aby stworzyć mrocznego archonta.
Dark Shrine allows you to warp in Dark Archons.	Mroczna świątynia pozwala przyzywać mrocznych archontów.
Provides supply.<n/>Supply allows you to warp in more units.<n/>Creates power for nearby structures and cloaks friendly units.	Zapewnia zaopatrzenie.<n/>Zaopatrzenie umożliwia przyzywanie większej liczby jednostek.<n/>Zasila pobliskie budynki i maskuje jednostki sojusznicze.
Dark Pylons increase the energy regeneration of friendly units inside of its power field by 300%.	Regeneracja energii u jednostek sojuszniczych znajdujących się w polu zasilającym mrocznych pylonów wzrasta o 300%.
Teleports all friendly units in the target area to the location of the Dark Pylon.	Teleportuje wszystkie jednostki sojusznicze znajdujące na wskazanym obszarze do mrocznego pylonu.
Teleport to a nearby target location.	Powoduje teleportację do pobliskiego wskazanego miejsca.
Deadly warrior-assassin. Cloak renders the unit invisible without detection. Can teleport to a nearby location.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Zabójczy wojownik. Maskowanie czyni go niewidzialnym dla wrogów bez umiejętności wykrywania. Potrafi teleportować się do pobliskiej lokalizacji.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Deadly warrior-assassin. Cloak renders the unit invisible without detection. Can teleport to a nearby location and deal damage to enemies along the way.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Zabójczy wojownik. Maskowanie czyni go niewidzialnym dla wrogów bez umiejętności wykrywania. Może teleportować się do pobliskiej lokalizacji i zadawać obrażenia wrogom na swojej drodze.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Decloaks the selected unit, making it visible to enemies.	Wyłącza maskowanie wybranej jednostki, czyniąc ją widoczną dla wrogów.
Surrounds the target with a shield that can absorb up to <d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/> damage. Effect lasts for <d ref="Behavior,DefensiveMatrix,Duration"/> seconds.	Otacza cel osłoną, która absorbuje maksymalnie <d ref="Behavior,DefensiveMatrix,Modification.VitalMaxArray[1]"/> pkt. obrażeń. Efekt utrzymuje się <d ref="Behavior,DefensiveMatrix,Duration"/> sek.
Surrounds the target with a shield that can absorb up to <d ref="Behavior,NovaCoopCasterDefensiveMatrix,DamageResponse.ModifyLimit"/> damage. Effect lasts for <d ref="Behavior,NovaCoopCasterDefensiveMatrix,Duration"/> seconds.	Otacza cel osłoną, która absorbuje maksymalnie <d ref="Behavior,NovaCoopCasterDefensiveMatrix,DamageResponse.ModifyLimit"/> pkt. obrażeń. Efekt utrzymuje się <d ref="Behavior,NovaCoopCasterDefensiveMatrix,Duration"/> sek.
Allows Dehaka to attack air units.	Pozwala Dehace atakować jednostki powietrzne.
Allows <c val ="ffff8a">Dehaka</c> to attack air units.	Pozwala <c val ="ffff8a">Dehace</c> atakować jednostki powietrzne.
Increases armor by <d ref="Behavior,DehakaArmorUpgrade1,Modification.LifeArmorBonus"/>.	Wzmacnia pancerz o <d ref="Behavior,DehakaArmorUpgrade1,Modification.LifeArmorBonus"/>.
Primal Zerg production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Primal Zerglings	Budowla produkcyjna pierwotnych zergów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– Pierwotne zerglingi.
A list of structures available for summon.	Lista budowli, które można wezwać.
Dehaka cloak ally units underneath him. <n/>Radius: <d ref="Unit,DehakaCoop,Radius+0.5" precision="2"/>	Dehaka maskuje jednostki sojusznicze, które znajdują się pod nim. <n/>Promień: <d ref="Unit,DehakaCoop,Radius+0.5" precision="2"/>
Instantly kill the target enemy unit to heal <d ref="Effect,DehakaConsumeEffectHealOther,VitalArray[Life].ChangeFraction*100"/>% Life and gain passive abilities based on the enemy type for <d ref="Behavior,DehakaConsumeEffectAir,Duration"/> seconds. The cooldown is based on the amount of life the enemy has when killed.<n/><n/><ul text="•"><li>Air: Gain a ranged attack</li><li>Armored: Gain bonus damage against armored units</li><li>Biological: Heal <d ref="Effect,DehakaConsumeEffectHealBiological,VitalArray[Life].ChangeFraction*100"/>% life</li><li>Light: Gain move speed</li><li>Massive: Gain armor and reflect damage at attackers</li><li>Mechanical: Gain attack speed</li><li>Psionic: Explode with Psionic Energy and abilities cooldown 50% faster</li>	Natychmiast zabija wskazaną jednostkę wroga, dzięki czemu odzyskuje <d ref="Effect,DehakaConsumeEffectHealOther,VitalArray[Life].ChangeFraction*100"/>% życia i na <d ref="Behavior,DehakaConsumeEffectAir,Duration"/> sek. zyskuje pasywną zdolność, która zależy od typu zabitej jednostki. Czas odnowienia oparty jest o poziom życia celu w chwili śmierci.<n/><n/><ul text="•"><li>Jednostka powietrzna: Dodaje atak z dystansu.</li><li>Jednostka opancerzona: Zwiększa obrażenia zadawane jednostkom opancerzonym.</li><li>Jednostka biologiczna: Leczy <d ref="Effect,DehakaConsumeEffectHealBiological,VitalArray[Life].ChangeFraction*100"/>% życia.</li><li>Jednostka lekka: Zwiększa szybkość ataku.</li><li>Jednostka masywna: Wzmacnia pancerz i odbija obrażenia z powrotem na napastników.</li><li>Jednostka mechaniczna: Zwiększa szybkość ataku.</li><li>Jednostka psioniczna: Wybucha energią psioniczną i skraca czasy odnowienia zdolności o 50%.</li>
Primal Pack Leader. Collects essence from his fallen enemies to change and grow in strength.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Przywódca stada pierwotnych. Gromadzi esencję po poległych wrogach, aby ewoluować i rosnąć w siłę.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Dehaka's arm fell off. Grew into Zweihaka. Then Zweihaka's arm fell off. Not sure what happened to that.	Dehace odpadła ręka i wyrósł z niej Dwahaka. Jemu też odpadła ręka, ale nie wiadomo, co się z nią stało.
Dehaka will revive within this den.	W tej norze odrodzi się Dehaka.
Allows Creepers to target air and increases their movement speed.	Zwiększa szybkość ruchu pełzaczy i pozwala im atakować cele powietrzne.
Spawns from Creeper hosts. Explosive Creepers last <d ref="Behavior,DehakaCreeperTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Powijane przez nosicieli pełzaczy. Wybuchowe pełzacze żyją <d ref="Behavior,DehakaCreeperTimedLife,Duration"/> sekund.<n/><n/><c val="ffff8a">Mogą atakować jednostki naziemne.</c>
Spawns from Creeper hosts. Explosive Creepers last <d ref="Behavior,DehakaCreeperTimedLife,Duration"/> seconds.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Powijane przez nosicieli pełzaczy. Wybuchowe pełzacze żyją <d ref="Behavior,DehakaCreeperTimedLife,Duration"/> sekund.<n/><n/><c val="ffff8a">Mogą atakować jednostki naziemne i powietrzne.</c>
An immense Pack Leader who charges at foes. Can launch projectiles at unsuspecting prey.	Ogromny przywódca stada, który szarżuje na wrogów. Może atakować niczego nie spodziewającą się ofiarę kolcami.
Contains upgrades for Primal Ultralisks and Tyrannozors.<n/><n/><c val="ffff8a">Enables:</c><n/>- Primal Ultralisk at Primal Warden	Umożliwia ulepszanie pierwotnych ultralisków i tyranozorów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– Pierwotne ultraliski z pierwotnego piastuna.
Every time Dakrun takes damage, he shoots a spine back at the attacker that deals <d ref="Effect,DehakaDakrunThornsDamage,Amount"/> damage.	Zawsze, gdy Dakrun otrzyma obrażenia, wystrzeliwuje w kierunku napastnika kolec, który zadaje <d ref="Effect,DehakaDakrunThornsDamage,Amount"/> pkt. obrażeń.
Summons the Primal Pack Leader Dakrun. Dakrun is a heavily armored juggernaut that can charge at a target location to deal heavy damage and knock back enemy units in the area. Dakrun will fight for <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> seconds before returning to his den.	Wzywa Dakruna, przywódcę stada pierwotnych. To ciężko opancerzony moloch, który może szarżować do wyznaczonego miejsca, zadawać poważne obrażenia i odrzucać znajdujące się tam jednostki wroga. Dakrun będzie walczyć przez <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> sek., zanim wróci do swojej nory.
Quickly burrow to any visible location.	Szybko przemieść się pod ziemią w dowolne, widoczne miejsce na mapie.
Detect cloaked, burrowed, and hallucinated units.	Wykrywa jednostki zamaskowane, zagrzebane i halucynacje.
Basic worker unit. Can harvest minerals and vespene gas. Can summon structures.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Podstawowa jednostka robotnicza. Może zbierać minerały i wespan, i wzywać budowle.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne.</c>
Creepers spawned by the Creeper Host can fly. Creepers will dive bomb to attack ground targets.	Pozwala latać szarańczy powijanej przez nosicieli pełzaczy. Szarańcza może nurkować i atakować cele naziemne.
Primal Locusts spawned by the Primal Host can fly. Flying Primal Locusts can use Swoop to land and attack.	Pozwala latać pierwotnej szarańczy powijanej przez pierwotnych nosicieli. Latająca pierwotna szarańcza może lądować na ziemi i atakować.
This unit attacks <d ref="Behavior,DehakaGeneAttackSpeed,Modification.AttackSpeedMultiplier-1*100" precision="1"/>% faster.	Ta jednostka atakuje <d ref="Behavior,DehakaGeneAttackSpeed,Modification.AttackSpeedMultiplier-1*100" precision="1"/>% szybciej.
This unit has <d ref="Behavior,DehakaGeneCarapace,Modification.VitalMaxAdditiveMultiplierArray[Life]*100" precision="1"/>% more life.	Ta jednostka posiada <d ref="Behavior,DehakaGeneCarapace,Modification.VitalMaxAdditiveMultiplierArray[Life]*100" precision="1"/>% więcej punktów życia.
This Creeper Host spawns double the amount of Creepers.	Ten nosiciel pełzaczy powija ich dwa razy więcej.
This unit will leech <d ref="Behavior,DehakaGeneLifeLeech,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*100" precision="1"/>% of damage done as life.	Ta jednostka wysysa punkty życia w wysokości <d ref="Behavior,DehakaGeneLifeLeech,Modification.VitalDamageLeechArray[Life].KindArray[Melee]*100" precision="1"/>% zadanych obrażeń.
Each time this unit takes damage, it shoots a spine back at the attacker that deals <d ref="Effect,DehakaGeneThornsDamage,Amount"/> damage.	Zawsze, gdy ta jednostka otrzyma obrażenia, wystrzeliwuje w kierunku napastnika kolec, który zadaje <d ref="Effect,DehakaGeneThornsDamage,Amount"/> pkt. obrażeń.
Vile and dangerous Pack Leader who breathes acid, tunnels through the ground, and lays eggs.	Odrażający i niebezpieczny przywódca stada, który pluje kwasem, drąży tunele i składa jaja.
Increases the Primal Igniter's damage against light armored enemies.	Zwiększa obrażenia, jakie pierwotne spalacze zadają lekko opancerzonym wrogom.
Increases the <c val ="ffff8a">Primal Igniter's</c> damage against light armored enemies.	Zwiększa obrażenia, jakie <c val ="ffff8a">pierwotne spalacze</c> zadają lekko opancerzonym wrogom.
Contains upgrades for Primal Roaches, Primal Hydralisks, Impalers and Ravasaurs.<n/><n/><c val="ffff8a">Enables:</c><n/>- Primal Roach at Primal Warden<n/>- Primal Hydralisk at Primal Warden<n/>- Primal Wurms from Primal Drones	Umożliwia ulepszanie pierwotnych karakanów, pierwotnych hydralisków, przebijaczy i rawazaurów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– Pierwotne karakany z pierwotnego piastuna.<n/>– Pierwotne hydraliski z pierwotnego piastuna.<n/>– Pierwotne czerwie z pierwotnych robotnic.
Summons the Primal Pack Leader Glevig and a small pack of Primal Zerg. Glevig is a powerful stationary ranged attacker that deals area damage and can relocate his position with Deep Tunnel. Glevig will fight for <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> seconds before returning to his den.	Wzywa Gleviga, przywódcę stada pierwotnych zergów wraz z ich niewielką grupą. To potężna, stacjonarna jednostka atakująca z dystansu, która zadaje obrażenia na obszarze i może zmieniać pozycję dzięki głębokiemu przekopowi. Glevig będzie walczył przez <d ref="Behavior,DehakaTopBarSummonTimedLife,Duration" player="current"/> sek., zanim wróci do swojej nory.
Movement speed increased.	Zwiększona szybkość ruchu.
Long range anti-ground flier.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Jednostka latająca atakująca z dużej odległości.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Each attack temporarily increases attack speed by <d ref="(Behavior,DehakaGuardianRage1,Modification.AttackSpeedMultiplier - 1) * 100"/>%. Can stack up to <d ref="(Behavior,DehakaGuardianRage5,Modification.AttackSpeedMultiplier - 1) * 100"/>% increased attack speed.	Szybkość ataku wzrasta z każdym kolejnym atakiem o <d ref="(Behavior,DehakaGuardianRage1,Modification.AttackSpeedMultiplier - 1) * 100"/>%. Maksymalny wzrost szybkości wynosi <d ref="(Behavior,DehakaGuardianRage5,Modification.AttackSpeedMultiplier - 1) * 100"/>%.
Fires an Explosive Spore at the target, causing the target and all nearby enemy ground units to take <d ref="Effect,DehakaGuardianMineChargeExplodeDamage,Amount"/> damage.	Wystrzeliwuje wybuchowe zarodniki, które zadają celowi i wszystkim pobliskim jednostkom naziemnym <d ref="Effect,DehakaGuardianMineChargeExplodeDamage,Amount"/> pkt. obrażeń.
Primary structure. Used to spawn Primal Drones and receive gathered resources. Contains upgrades for Primal Zerg units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Primal Drones	Budowla główna. Służy do powijania pierwotnych robotnic i gromadzenia surowców. Umożliwia ulepszanie jednostek pierwotnych zergów.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– Pierwotne robotnice.
Ranged attacker. Can combat another Primal Hydralisk to evolve.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Jednostka atakująca z dystansu. Może stoczyć walkę z innym pierwotnym hydraliskiem, aby ewoluować.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>
Two Primal Hydralisk battle and the survivor evolves into an Impaler.<n/><n/>Long-range anti-armor ambusher. Must burrow to attack.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Dwa pierwotne hydraliski walczą ze sobą, a ten który przetrwa ewoluuje w przebijacza.<n/><n/>Jednostka przeciwpancerna atakująca z zaskoczenia z dużej odległości. Aby atakować, musi się zagrzebać. <n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
Increases movement speed and attack range.	Zwiększa szybkość ruchu i zasięg ataku.
Two Primal Hydralisk battle and the survivor evolves into a Primal Mutalisk.<n/><n/>Air Unit. Bounces its shot to strike multiple targets.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Dwa pierwotne hydraliski walczą ze sobą, a ten który przetrwa ewoluuje w pierwotnego mutaliska.<n/><n/>Jednostka powietrzna. Jej pocisk, przeskakując, trafia w wiele celów.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>
Tenderized units take <d ref="(Effect,ImpalerDehakaTenderizeDamage,Amount*Behavior,ImpalerDehakaTenderize,PeriodCount)"/> damage over <d ref="Behavior,ImpalerDehakaTenderize,Duration"/> seconds. A tenderized unit consumed by Dehaka will invoke 25% of the normal cooldown time.	Zmiękczone jednostki otrzymują <d ref="(Effect,ImpalerDehakaTenderizeDamage,Amount*Behavior,ImpalerDehakaTenderize,PeriodCount)"/> pkt. obrażeń w ciągu <d ref="Behavior,ImpalerDehakaTenderize,Duration"/> sek., a zmiękczone i pożarte przez Dehakę wywołują 25% normalnego czasu odnowienia.
Dehaka terrifies nearby enemies, reducing their movement speed by <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% and attack speed by <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>% for for <d ref="Behavior,DehakaIntimidatingRoar,Duration"/> seconds.	Dehaka przeraża pobliskich wrogów, co zmniejsza ich szybkość ruchu o <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveMoveSpeedFactor * (-1 ) * 100" precision="2"/>% a szybkość ataku o <d ref="Behavior,DehakaIntimidatingRoar,Modification.AdditiveAttackSpeedFactor * (-1 ) * 100" precision="2"/>% na <d ref="Behavior,DehakaIntimidatingRoar,Duration"/> sek.
