Amorphous Armorcloud	Blindagem Nebulosa Amorfa
InfestorStetmannHealingTentacleWeapon	Infestador - Stetmann - Tentáculo Curativo - Arma
InfestorStetmannInfestBuildingWeapon	Infestador - Stetmann - Infestar Estrutura - Arma
InfestorStetmannRavagerEggMissile	Infestador - Stetmann - Devastador - Ovo - Míssil
InfestorStetmannRoachEggMissile	Infestador - Stetmann - Barata - Ovo - Míssil
Mecha Locusceptor	Gafanhoceptor Mecanoide
Mecha Larva	Larva Mecanoide
Mecha Lurker Den	Covil de Furtivo Mecanoide
Mecha Lurker Egg	Ovo de Furtivo Mecanoide
LurkerStetmannWeapon	Furtivo - Stetmann - Arma
Mecha Overlord	Suserano Mecanoide
Mecha Overseer Cocoon	Casulo de Supervigia Mecanoide
Mecha Overseer	Supervigia Mecanoide
Stetellite	Stetélite
Deactivated Stetellite	Stetélite Desativado
Mecha Ravager	Devastador Mecanoide
Mecha Ravager Cocoon	Casulo de Devastador Mecanoide
RavagerStetmannCorrosiveBileAoEMissile	Devastador - Stetmann - Bile Corrosiva - Míssil - Área de Efeito
Mecha Ravager Egg	Ovo de Devastador Mecanoide
RavagerStetmannMissile	Devastador - Stetmann - Míssil
Mecha Roach	Barata Mecanoide
RoachStetmannAttackMissile	Barata - Stetmann - Ataque - Míssil
Mecha Roach Egg	Ovo de Barata Mecanoide
Spine Crawler Stetmann	Lagarta Espinhosa - Stetmann
Spore Crawler Stetmann Weapon	Lagarta de Esporos - Stetmann - Arma
Stetmann Spare Parts Missile	Stetmann - Peças Sobressalentes - Míssil
Super Gary	Super Gary
Super Gary Stetmann Missile	Super Gary - Stetmann - Míssil
Mecha Ultralisk Cavern	Caverna do Mammuthus Mecanoide
Egonergy Efficient Barrier	Barreira de Egonergia Eficiente
Mecha Locusceptor Bays	Polos de Gafanhoceptores Mecanoides
Wide Area Cluster Busters	Detonaglomerados de Área Ampliada
Erudition Missile Launchers	Lançadores de Mísseis Erudição
BONUS Ravager!	Devastador EXTRA!
Extended Tunnel of TERROR Algorithm	Algoritmo de Túnel do TERROR Estendido
Mastery Stetmann Deploy Stetellite Cooldown	Maestria - Stetmann - Recarga de Acionar Stetélite
Mastery Stetmann Gary Ability Cooldown	Maestria - Stetmann - Recarga da Habilidade do Gary
Mastery Stetmann Maximum Egonergy Pool	Maestria - Stetmann - Reserva Máxima de Egonergia
Mastery Stetmann Stetzone Bonuses	Maestria - Stetmann - Bônus de Stetzona
Mastery Stetmann Stetzone Bonuses Energy Regeneration	Maestria - Stetmann - Bônus de Stetzona - Regeneração de Energia
Mastery Stetmann Stetzone Bonuses HP Regeneration	Maestria - Stetmann - Bônus de Stetzona - Regeneração de PV
Mastery Stetmann Stetzone Bonuses Movement Speed	Maestria - Stetmann - Bônus de Stetzona - Velocidade de Movimento
Mastery Stetmann Structure Morph Rate	Maestria - Stetmann - Taxa de Transmutação de Estruturas
Mastery Stetmann Upgrade Research Cost	Maestria - Stetmann - Custo da Pesquisa do Aprimoramento
Mecha Zergling Remnant Recycling Bonus	Zergnídeo Mecanoide - Bônus de Reciclagem de Resto
Ventral Pods	Cápsulas Ventrais
H.U.G.S. Configuration	Configuração A.M.P.A.R.O.
F.A.S.T. Configuration	Configuração V.A.P.T.
Mecha Zerg Flyer Plating Level 1	Revestimento de Zerg Mecanoide Voador Nível 1
Mecha Zerg Flyer Plating Level 2	Revestimento de Zerg Mecanoide Voador Nível 2
Mecha Zerg Flyer Plating Level 3	Revestimento de Zerg Mecanoide Voador Nível 3
Mecha Zerg Flyer Weapons Level 1	Armas de Zerg Mecanoide Voador Nível 1
Mecha Zerg Flyer Weapons Level 2	Armas de Zerg Mecanoide Voador Nível 2
Mecha Zerg Flyer Weapons Level 3	Armas de Zerg Mecanoide Voador Nível 3
Stetmann	Stetmann
Mecha Zerg Ground Plating Level 1	Revestimento de Zerg Mecanoide Terrestre Nível 1
Mecha Zerg Ground Plating Level 2	Revestimento de Zerg Mecanoide Terrestre Nível 2
Mecha Zerg Ground Plating Level 3	Revestimento de Zerg Mecanoide Terrestre Nível 3
Stetmann Is Present	Stetmann Está Presente
Mecha Zerg Melee Weapons Level 1	Armas Corpo a Corpo de Zerg Mecanoide Nível 1
Mecha Zerg Melee Weapons Level 2	Armas Corpo a Corpo de Zerg Mecanoide Nível 2
Mecha Zerg Melee Weapons Level 3	Armas Corpo a Corpo de Zerg Mecanoide Nível 3
Mecha Zerg Missile Weapons Level 1	Armas de Mísseis de Zerg Mecanoide Nível 1
Mecha Zerg Missile Weapons Level 2	Armas de Mísseis de Zerg Mecanoide Nível 2
Mecha Zerg Missile Weapons Level 3	Armas de Mísseis de Zerg Mecanoide Nível 3
Upgrade Resource Cost	Custo de Recursos do Aprimoramento
Gary Ability Cooldown	Recarga da Habilidade do Gary
Stetzone Bonuses	Bônus de Stetzona
Maximum Egonergy Pool	Reserva Máxima de Egonergia
Deploy Stetellite Cooldown	Recarga de Acionar Stetélite
-~A~ seconds	-~A~ s
Structure Morph Rate	Taxa de Transmutação de Estruturas
Egonergy:	Egonergia
Explode Building	Explodir Estrutura
BroodLordStetmannBomber	Lorde das Castas - Stetmann - Bombardeiro
Mecha Broodling Escort	Escolta Parasitoide Mecanoide
Mecha Needle Claws	Garras de Agulha Mecanoides
Mecha Broodling Strike	Ataque de Parasitoides Mecanoides
Mecha Parasite Spore	Esporo de Parasita Mecanoide
Monomolecular Saw Claws	Garras Serrilhadas Monomoleculares
Gary's Little Helper	Ajudante do Gary
Erudition Missiles	Mísseis Erudição
Mecha Needle Spines	Urticárias Mecanoides
Mecha Locusceptors	Gafanhoceptores Mecanoides
Mecha Spines	Espinhos Mecanoides
Mecha Plasma Discharge	Descarga de Plasma Mecanoide
Mecha Acid Saliva	Saliva Ácida Mecanoide
RoachStetmannMelee	Barata - Stetmann - Corpo a Corpo
Mecha Impaler Tentacle	Tentáculo Empalador Mecanoide
Mecha Acid Spew	Vômito Ácido Mecanoide
Gary's Bigger Helper	Ajudantezão do Gary
Mecha Kaiser Blades	Foice Kaiser Mecanoide
Mecha Claws	Garras Mecanoides
Must place in a Stetzone	É necessário posicionar em uma Stetzona
ACGlobalShareUnit	ACGlobalShareUnit
ACGlobalShareUnitNoEnemy	ACGlobalShareUnitNoEnemy
Tractor Beam	Raio de Tração
Create Symbiote	Criar Simbionte
Creep Mend	Restauro de gosma
Deep Tunnel	Túnel Profundo
Mark for Collection	Marcar para Coleta
Mend	Restaurar
Spawn Locusts	Gerar Gafanhotos
Abathur Symbiote Hangar	Simbionte - Abathur - Hangar
Ultimate Evolution	Evolução Suprema
Acidic Cloud	Nuvem Ácida
Deadly Charge	Investida Mortal
AlarakACSoAMothershipV4BlackHole	AlarakACSoAMothershipV4BlackHole
Summon Deathfleet	Evocar Frota da Morte
Empower Me, Slaves	Deem-me Poder, Escravos
Alarak Revive	Reviver Alarak
Structure Overcharge	Sobrecarga de Estrutura
AlarakZealotFrenziedOverload	AlarakZealotFrenziedOverload
Archangel Assault Mode	Archangel Assault Mode
Archangel Bombardment	Archangel Bombardment
Archangel Fighter Mode	Archangel Fighter Mode
Archangel Gun Shot	Archangel Gun Shot
Archangel Charge Up	Archangel Charge Up
Archangel Missile Shot	Archangel Missile Shot
Archangel Repel	Archangel Repel
Armory Research	Pesquisa de Arsenal
Attack Friend	Atacar Amigo
Attack Redirect Infested Bunker	Redirecionamento de Ataque da Casamata Infestada
Attack With Neutral Scan	Atacar com Varredura Neutra
Attack With Neutral Scan Air/Ground	Atacar com Varredura Aérea/Terrestre Neutra
Auto Get Infested Ammo	Auto Get Infested Ammo
Banshee Airstrike	Ataque Aéreo de Vudu
Barracks Tech Lab Research_BlackOps	Pesquisa do Laboratório Técnico do Quartel - Operações Secretas
Train	Treinar
Attack	Atacar
Bile Launcher Bombardment	Bile Launcher Bombardment
Bio-Mechanical Transfusion	Transfusão Biomecânica
Biomass Pickup	Coleta de Biomassa
Broken Solar Forge	Usina Solar Quebrada
Brutalisk Deep Tunnel	Túnel Profundo da Brutalisca
Build Railgun Turret	Construir Torre Magnética
Build Payload	Construir Carga
Burrow Dehaka Coop Down	Entocar Cooperativo de Dehaka
Burrow Dehaka Coop Up	Desentocar Cooperativo de Dehaka
BurrowSIInfestedCivilianDown	BurrowSIInfestedCivilianDown
BurrowSIInfestedCivilianUp	BurrowSIInfestedCivilianUp
BurrowSIInfestedMarineDown	BurrowSIInfestedMarineDown
BurrowSIInfestedMarineUp	BurrowSIInfestedMarineUp
BurrowSIInfestedTrooperDown	BurrowSIInfestedTrooperDown
BurrowSIInfestedTrooperUp	BurrowSIInfestedTrooperUp
BurrowStukovInfestedBansheeDown	BurrowStukovInfestedBansheeDown
BurrowStukovInfestedBansheeUp	BurrowStukovInfestedBansheeUp
Arsenal Overcharge	Sobrecarga de Arsenal
Solar Cannon	Canhão Solar
Unroot (Command Center)	Unroot (Command Center)
CommanderPrestigeAlarakDeathFleetWarpable	CommanderPrestigeAlarakDeathFleetWarpable
CommanderPrestigeArtanisOrbitalStrikeShieldOverchargeTargeted	CommanderPrestigeArtanisOrbitalStrikeShieldOverchargeTargeted
CommanderPrestigeDehakaPackLeadersRetreat	CommanderPrestigeDehakaPackLeadersRetreat
CommanderPrestigeZagaraMaxSupplyScourgeSpawner	CommanderPrestigeZagaraMaxSupplyScourgeSpawner
Construct Drakken Laser Drill Coop	Construct Drakken Laser Drill Coop
Egg	Ovo
Spawn Swarm	Gerar Enxame
Coop Turn To Ability	Coop Turn To Ability
Coop - VoidTendrilDeathGripAutoCast	Cooperativo - TentáculoDoVazioGuanteDaMorteLançamentoAutomático
Corrosive Acid	Ácido Corrosivo
Ensnare	Embuste
CybrosEscortDownloader	CybrosEscortDownloader
CybrosEscortTowerGroundMissileVolley	CybrosEscortTowerGroundMissileVolley
CybrosEscortTowerMissileVolley	CybrosEscortTowerMissileVolley
CybrosEscortTowerMultiAOE	CybrosEscortTowerMultiAOE
CybrosEscortTowerSingleTargetLockOn	CybrosEscortTowerSingleTargetLockOn
Cyclone Reborn	Ciclone Renascido
Cyclone Reborn Cheap	Ciclone Renascido Barato
Cyclone Wreckage	Destroços de Ciclone
Damaged Evolution Pit	Poço Evolucional Danificado
DarkPylonMorph	TransmutarPilarNegro
Dark Pylon Recall	Dark Pylon Recall
Blink	Translação
Dark Warp Prism Recall	Chamado do Prisma de Dobra Negro
Defensive Matrix	Matriz Defensiva
ArmorUpgrade	ArmorUpgrade
DehakaBarracksTrainEgg	DehakaBarracksTrainEgg
DehakaConcoonEatSearch	DehakaConcoonEatSearch
Devour	Devorar
Drone Morph	Transmutação de Zangão
DehakaGiveEssencePickup	DehakaGiveEssencePickup
DehakaHatcheryTrainEgg	DehakaHatcheryTrainEgg
DehakaHiveRoot	DehakaHiveRoot
DehakaHiveUproot	DehakaHiveUproot
Intimidating Roar	Rugido Intimidador
Leap	Salto
Primal Regeneration	Regeneração Primeva
DehakaNydusDestroyerTimedNoFoodBeam	DehakaNydusDestroyerTimedNoFoodBeam
Primal Mutation	Mutação Primeva
Swipe	Patada
Town Hall Train	Treinamento na Prefeitura
Barrage of Spikes	Salva de Espinhos
Morph Building (Primal Lair-> Primal Hive)	Transmutar Construção (Antro Primevo -> Colmeia Primeva)
Morph Building (Primal Hatchery -> Primal Lair)	Transmutar Construção (Incubadora Primeva -> Antro Primevo)
Deploy Spider Mines	Instalar Minas-aranha
Diamondback Reborn	Cascavel Renascida
Diamondback Reborn Cheap	Diamondback Reborn Cheap
Diamondback Wreckage	Destroços de Cascavel
Drakken Laser Drill Attack Issue Order	Drakken Laser Drill Attack Issue Order
Drakken Laser Drill Concentrated Beam	Drakken Laser Drill Concentrated Beam
Drakken Laser Drill Concentrated Beam Issue Order	Drakken Laser Drill Concentrated Beam Issue Order
Drakken Laser Drill Pulse Cannon	Furadeira Laser Drakken - Canhão de Pulso
Drakken Laser Drill Power Up	Drakken Laser Drill Power Up
Drakken Laser Drill Pulse Cannon Issue Order	Drakken Laser Drill Pulse Cannon Issue Order
Drakken Laser Drill Research	Drakken Laser Drill Research
Retreat	Retirada
Move to Drop Off	Deslocar-se para entrega
Select Payload	Selecionar Carga
EMP	PEM
Emergency Medivacs	Ambunaves de Emergência
Reclamation	Recuperação
Evolution Pit Research	Pesquisar Poço Evolucional
Evolution Pit Scaling Cost Research	Pesquisa - Poço Evolucional - Escalonamento de Custo
Evolve Brutalisk	Evoluir Brutalisca
Evolve to Brutalisk	Evoluir Brutalisca
Evolve To Leviathan	Evoluir para Leviatã
Feedback	Feedback
FenixClolarionInterceptorMorph	FenixClolarionInterceptorMorph
Solarite Flare	Explosão de Solarita
FenixDragoonBattleShout	FenixDragoonBattleShout
FenixDragoonChargedBlast	FenixDragoonChargedBlast
FenixKaldalisZealotMorph	FenixKaldalisZealotMorph
FenixMojoAOEMissiles	FenixMojoAOEMissiles
FenixMojoScoutMorph	FenixMojoScoutMorph
FenixTaldarinImmortalMorph	FenixTaldarinImmortalMorph
FenixTalisAdeptMorph	FenixTalisAdeptMorph
Psionic Transfer	Transferência Psiônica
Psionic Transfer Cancel	Psionic Transfer Cancel
FenixWarbringerColossusMorph	FenixWarbringerColossusMorph
Research (Zeratul)	Pesquisar (Zeratul)
GenerateCreepStukov	GenerateCreepStukov
Goliath Reborn	Golias Renascido
Goliath Reborn Cheap	Goliath Reborn Cheap
Goliath Wreckage	Destroços de Golias
HHMercStarportSpecialize	HHMercStarportSpecialize
Space Station Reallocation	Realocação da Estação Espacial
Headbutt	Cabeçada
Healing Drone Heal	Cura do Droide de Cura
Jump Jet Assault	Ataque do Jato de Salto
Hellbat Reborn	Morcego Infernal Renascido
Hellbat Reborn Cheap	Hellbat Reborn Cheap
Hellbat Wreckage	Destroços de Morcego Infernal
Hellion Reborn	Endiabrado Renascido
Hellion Reborn Cheap	Hellion Reborn Cheap
Hellion Wreckage	Destroços de Endiabrado
Horner Air Fleet Activate	Frota Aérea de Horner - Ativar
Horner Air Fleet Execute	Frota Aérea de Horner - Executar
Horner Air Fleet Targeting Dummy	Frota Aérea de Horner - Mirando Dummy
HybridStasisChamberARelease	HybridStasisChamberARelease
HybridStasisChamberBRelease	HybridStasisChamberBRelease
Point Defense Drone	Dróide de defesa pontual
Impaler Den Research	Pesquisar Covil de Empalador
InfestedStukovCoopBurrow	InfestedStukovCoopBurrow
InfestedStukovCoopDevastatingShot	InfestedStukovCoopDevastatingShot
InfestedStukovCoopInfestedTerrans	InfestedStukovCoopInfestedTerrans
InfestedStukovCoopUnburrow	InfestedStukovCoopUnburrow
Instant Seeker Missile	Míssil Teleguiado Instantâneo
Intimidating Super Roar	Superrugido Intimidador
Maelstrom	Turbilhão
Immobilization Wave	Onda Imobilizadora
Assimilation Aura	Aura de Assimilação
Leap Attack	Ataque com Salto
Leap Attack Morph To Flying Form	Transmutação de Ataque com Salto para Forma Voadora
Leap Attack Morph To Normal Form	Transmutação de Ataque com Salto para Forma Normal
Left 2 Die - Research	Left 2 Die - Pesquisar
Research (Lurker Den)	Pesquisa (Covil de Furtivo)
Make Spider Mines	Construir Minas-Aranha
Mammoth Beam	Feixe de Mamute
Mammoth Breath	Sopro de Mamute
Mammoth Roar	Rugido de Mamute
MapObjectInteract	MapObjectInteract
Mass Merc Drop	Soltar Mercenário em Massa
Make Spider Mine Queue	Fazer fila de Minas-aranha
Use Spider Mines	Usar Minas-aranhas
Morph Roach to Impaler	Transmutar Barata em Empalador
Morph Roach To Ravager	Transmutar Barata em Devastador
CybrosEscortTowerBurrow	CybrosEscortTowerBurrow
CybrosEscortTowerUnburrow	CybrosEscortTowerUnburrow
Morph To Hellbat Black Ops	Transmutar para Morcego Infernal - Operações Secretas
Morph To Hellion Black Ops	Transmutar para Endiabrado - Operações Secretas
Oppressive Stench	Fedor Opressivo
Mutalisk Morph To Devourer	Mutalisca - Transmutar em Devorador
Mutalisk Morph To Guardian	Mutalisca Transmutar para Guardião
Mutator Amon Artanis Astral Wind	Mutador Vento Astral de Artanis Amon
Mutator Amon Artanis Lightning Dash	Mutador Investida-relâmpago de Artanis Amon
Mutator Amon Kerrigan Apocalypse	Mutador Apocalipse de Kerrigan Amon
Mutator Amon Kerrigan Burrow	Mutador Entocar de Kerrigan Amon
Mutator Amon Kerrigan Primal Slash	Mutador Corte Primevo de Kerrigan Amon
Mutator Amon Kerrigan Psi Strike	Mutador Ataque Psi de Kerrigan Amon
Mutator Amon Kerrigan Unburrow	Mutador Desentocar de Kerrigan Amon
Khaydarin Monolith	Monólito Khaydarin
Servitors	Servidores
Armor Piercing Shot	Tiro Antiblindagem
Phase Cannon	Canhão Fásico
Void Armor	Armadura do Vazio
Mutator Amon Raynor Snipe	Mutador Tiro de Precisão de Raynor Amon
Shadow Blade	Lâmina Sombria
Mutator Amon Tychus Toss Grenade	Mutador Lançar Granada de Tychus Amon
Mutator Amon Zagara Baneling Barrage	Mutador Barragem de Tatu-bomba de Zagara Amon
Mutator Amon Zagara Burrow	Mutador Entocar de Zagara Amon
Mutator Amon Zagara Mass Frenzy	Mutador Frenesi em Massa de Zagara Amon
Mutator Amon Zagara Mass Roach Drop	Mutador Baratas em Massa de Zagara Amon
Mutator Amon Zagara Spawn Hunter Killers	Mutador Gerar Caçadores-assassinos de Zagara Amon
Mutator Amon Zagara Unburrow	Mutador Desentocar de Zagara Amon
Boom Bot Defuse	Desarmamento de Robomba
MutatorBuyCandy	MutatorBuyCandy
Mutator Cloaked Mine Attack	Mutador - Ataque Mina Camuflada
MutatorEnvelopePickupGas50	MutatorEnvelopePickupGas50
MutatorEnvelopePickupMinerals50	MutatorEnvelopePickupMinerals50
Terrifying Gobble	Gluglu Terrível
Mutator Pickup Gas 50	Mutador - Coleta Gás 50
Pickup Minerals 25	Coleta de Minérios 25
Mutator Pickup Minerals 50	Mutador - Coleta de Minérios 50
Reanimate (Fast)	Reanimar (Rápido)
Reanimate (Slow)	Reanimar (Lento)
Reanimate	Reanimar
Wake Up!	Acordar!
Spider Mine Burrow	Entocar Mina-aranha
Spider Mine Unburrow	Mina-aranha - Desentocar
Mutator Widow Mine Attack	Mutador - Mina Viúva - Ataque
Mutator Widow Mine Burrow	Mutador - Mina Viúva - Entocar
Mutator Widow Mine Unburrow	Mutador - Mina Viúva - Desentocar
NexusBuild	ConstruirNexus
Boombot Burrow	Bomba-robô Entocar
Nova Coop Caster Advanced Optics	Nova - Coop - Lançador - Ótica Avançada
Nova Coop Caster Defensive Matrix	Nova - Coop - Lançador - Matriz de Defesa
Nova Coop Caster Nuke	Nova - Coop - Lançador - Arma Nuclear
Nova Coop Caster Stun Grenade	Nova - Coop - Lançador - Granada Atordoante
Summon Odin	Evocar Odin
Holo-Decoy	Clone Holográfico
Create BoomBots	Criar Bombas-robôs
NovaGadgetBoombotsSwap	NovaGadgetBoombotsSwap
