Amorphous Armorcloud	Protezione informe
<n/><n/><c val="FFFF8A">Mastery:</c> Increases structures' production speed by <c val="FFFF8A"><d ref="Effect,MasteryFenixChronoBoostExtraDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryFenixChronoBoostExtraDisplayDummy,Amount"/></c>% la velocità di produzione delle strutture.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces all research costs by <c val="FFFF8A"><d ref="Effect,MasteryFenixReducedResearchCostsDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce del <c val="FFFF8A"><d ref="Effect,MasteryFenixReducedResearchCostsDisplayDummy,Amount"/></c>% i costi di ricerca.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases distance by <c val="FFFF8A"><d ref="Effect,MasteryHornerAirStrikeDistanceDisplayDummy,Amount" player="current"/></c> percent.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryHornerAirStrikeDistanceDisplayDummy,Amount" player="current"/>%</c> la distanza.
<n/><n/><c val="FFFF8A">Mastery:</c> Increased chance of getting a better death effect by <c val="FFFF8A"><d ref="Effect,MasteryHornerBetterDeathRattleDisplayDummy,Amount" player="current" precision="2"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryHornerBetterDeathRattleDisplayDummy,Amount" player="current" precision="2"/></c>% la probabilità di ottenere un effetto migliore alla morte.
<n/><n/><c val="FFFF8A">Mastery:</c> Radius increased by <c val="FFFF8A"><d ref="Effect,MasteryHornerBomberRadiusDisplayDummy,Amount" precision="1" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Raggio esteso del <c val="FFFF8A"><d ref="Effect,MasteryHornerBomberRadiusDisplayDummy,Amount" precision="1" player="current"/></c>%.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases heal amount by <c val="FFFF8A"><d ref="Effect,MasteryHornerLPSHealDisplayDummy,Amount" player="current" precision="2"/></c> per second.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta le cure di <c val="FFFF8A"><d ref="Effect,MasteryHornerLPSHealDisplayDummy,Amount" player="current" precision="2"/></c> al secondo.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryHornerMagMineUpgradesDisplayDummy,Amount" player="current"/></c> seconds and arming time by <c val="FFFF8A"><d ref="Effect,MasteryHornerMagMineUpgradesArmingDisplayDummy,Amount" player="current"/></c> seconds. Increases maximum charges by <c val="FFFF8A"><d ref="Effect,MasteryHornerMagMineUpgradesChargeCountDummy,Amount" player="current"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce il tempo di recupero di <c val="FFFF8A"><d ref="Effect,MasteryHornerMagMineUpgradesDisplayDummy,Amount" player="current"/></c> <lang rule="plural">secondo,secondi</lang> e il tempo di attivazione di <c val="FFFF8A"><d ref="Effect,MasteryHornerMagMineUpgradesArmingDisplayDummy,Amount" player="current"/></c> <lang rule="plural">secondo,secondi</lang>. Aumenta le cariche massime di <c val="FFFF8A"><d ref="Effect,MasteryHornerMagMineUpgradesChargeCountDummy,Amount" player="current"/></c>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases chance to drop additional scrap by <c val="FFFF8A"><d ref="Effect,MasteryHornerDoubleSalvageChanceDisplayDummy,Amount" player="current"/></c> percent.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryHornerDoubleSalvageChanceDisplayDummy,Amount" player="current"/></c>% la probabilità di rilasciare rottami aggiuntivi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases structures’ maximum life by <d ref="Effect,MasteryKaraxBuildingVitalDisplayDummy,Amount"/>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <d ref="Effect,MasteryKaraxBuildingVitalDisplayDummy,Amount"/>% l'integrità massima delle strutture.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases structures’ production speed by <c val="FFFF8A"><d ref="Effect,MasteryKaraxChronoBoostSpeedDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryKaraxChronoBoostSpeedDisplayDummy,Amount"/></c>% la velocità di produzione delle strutture.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases repair speed by <c val="FFFF8A"><d ref="Effect,MasteryKaraxRepairBeamHealUnitDisplayDummy,Amount" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryKaraxRepairBeamHealUnitDisplayDummy,Amount" player="current"/></c>% la velocità di riparazione.
<n/><n/><c val="FFFF8A">Mastery:</c> Generates <c val="FFFF8A"><d ref="Effect,MasteryKaraxSoAChronoRegenDisplayDummy,Amount" player="current"/></c> energy for the Spear of Adun.	<n/><n/><c val="FFFF8A">Maestria:</c> Genera <c val="FFFF8A"><d ref="Effect,MasteryKaraxSoAChronoRegenDisplayDummy,Amount" player="current"/></c> energia per la Lancia di Adun.
<n/><n/><c val="FFFF8A">Mastery:</c> Decreases combat unit resource cost by <c val="FFFF8A"><d ref="Effect,MasteryKaraxUnitCostDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce del <c val="FFFF8A"><d ref="Effect,MasteryKaraxUnitCostDisplayDummy,Amount"/></c>% il costo delle unità da combattimento.
<n/><n/><c val="FFFF8A">Mastery:</c> Decreases vespene gas cost for units by <c val="FFFF8A"><d ref="Effect,MasteryKerriganArmyGasCostDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce del <c val="FFFF8A"><d ref="Effect,MasteryKerriganArmyGasCostDisplayDummy,Amount"/></c>% il costo in gas vespene delle unità.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases duration by <c val="FFFF8A"><d ref="Effect,MasteryKerriganAssimilationAuraDurationDisplayDummy,Amount" precision="1"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta la durata di <c val="FFFF8A"><d ref="Effect,MasteryKerriganAssimilationAuraDurationDisplayDummy,Amount" precision="1"/></c> <lang rule="plural">secondo,secondi</lang>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases attack damage by <c val="FFFF8A"><d ref="Effect,MasteryKerriganAutoAttackDamageDisplayDummy,Amount"/></C>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni da attacco di <c val="FFFF8A"><d ref="Effect,MasteryKerriganAutoAttackDamageDisplayDummy,Amount"/></C>.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces the cost and research time for evolutions by <c val="FFFF8A"><d ref="Effect,MasteryKerriganResearchSpeedDisplayDummy,Amount"/></C>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce del <c val="FFFF8A"><d ref="Effect,MasteryKerriganResearchSpeedDisplayDummy,Amount"/></C>% il costo e il tempo di ricerca delle evoluzioni.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces birth time by <c val="FFFF8A"><d ref="Effect,MasteryKerriganCocoonTimerDisplayDummy,Amount"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce il tempo di rinascita di <c val="FFFF8A"><d ref="Effect,MasteryKerriganCocoonTimerDisplayDummy,Amount"/></c> <lang rule="plural">secondo,secondi</lang>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage by <c val="FFFF8A"><d ref="Effect,MasteryKerriganCrushingGripDamageDummy,Amount"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni di <c val="FFFF8A"><d ref="Effect,MasteryKerriganCrushingGripDamageDummy,Amount"/></c>.
<n/><n/><c val="FFFF8A">Mastery:</c> Energy regeneration increased by <c val="FFFF8A"><d ref="Effect,MasteryKerriganEnergyRegenDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryKerriganEnergyRegenDisplayDummy,Amount"/></c>% la rigenerazione di energia.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage by <c val="FFFF8A"><d ref="Effect,MasteryKerriganImmobilizationWaveDisplayDummy,Amount"/></C>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryKerriganImmobilizationWaveDisplayDummy,Amount"/></c>% i danni.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage by <c val="FFFF8A"><d ref="Effect,MasteryKerriganLeapingStrikeDamageDummy,Amount"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni di <c val="FFFF8A"><d ref="Effect,MasteryKerriganLeapingStrikeDamageDummy,Amount"/></c>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage by <c val="FFFF8A"><d ref="Effect,MasteryKerriganMindBoltDamageDummy,Amount"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni di <c val="FFFF8A"><d ref="Effect,MasteryKerriganMindBoltDamageDummy,Amount"/></c>.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces bonus life degeneration by <c val="FFFF8A"><d ref="Effect,MasteryKerriganMutatingCarapaceLifeDegradationDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce del <c val="FFFF8A"><d ref="Effect,MasteryKerriganMutatingCarapaceLifeDegradationDisplayDummy,Amount"/></c>% l'esaurimento della vita aggiuntiva.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage by <c val="FFFF8A"><d ref="Effect,MasteryKerriganPsiStrikeDamageDummy,Amount"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni di <c val="FFFF8A"><d ref="Effect,MasteryKerriganPsiStrikeDamageDummy,Amount"/></c>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases timed life by <c val="FFFF8A"><d ref="Effect,MasteryStukovTimedLifeDisplayDummy,Amount" player="current"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Durata aumentata di <c val="FFFF8A"><d ref="Effect,MasteryStukovTimedLifeDisplayDummy,Amount" player="current"/></c> <lang rule="plural">secondo,secondi</lang>.
<c val="FFFF8A">Mastery:</c> Units deployed from this structure gain <c val="FFFF8A"><d ref="Effect,MasteryNovaArmyAttackSpeedDisplayDummy,Amount" precision="1"/></c>% attack speed.	<c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryNovaArmyAttackSpeedDisplayDummy,Amount" precision="1"/></c>% la velocità d'attacco delle unità di questa struttura.
<c val="FFFF8A">Mastery:</c> Units deployed from this structure regenerate <c val="FFFF8A"><d ref="Effect,MasteryNovaArmyOOCRegenSpeedDisplayDummy,Amount" precision="1"/></c> life per second while out of combat.	<c val="FFFF8A">Maestria:</c> Le unità di questa struttura rigenerano <c val="FFFF8A"><d ref="Effect,MasteryNovaArmyOOCRegenSpeedDisplayDummy,Amount" precision="1"/></c> vita al secondo quando non in combattimento.
<n/><n/><c val="FFFF8A">Mastery:</c> Energy regeneration increased by <c val="FFFF8A"><d ref="Effect,MasteryNovaEnergyRegenDisplayDummy,Amount" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryNovaEnergyRegenDisplayDummy,Amount" player="current"/></c>% la rigenerazione di energia.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces resource cost by <c val="FFFF8A"><d ref="Effect,MasteryNovaGriffinCostDisplayDummy,Amount" player="current"/></c>.	<n/><n/><c val="FFFF8A">Maestria:</c> Riduce il costo di <c val="FFFF8A"><d ref="Effect,MasteryNovaGriffinCostDisplayDummy,Amount" player="current"/></c>.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryNovaNukeAndHoloDecoyCooldownDisplayDummy,Amount" player="current"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryNovaNukeAndHoloDecoyCooldownDisplayDummy,Amount" player="current"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage absorption by <d ref="$UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Behavior,NovaBlinkAbsorb,Modification.VitalMaxArray[Shields]$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$"/>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta di <d ref="$UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Behavior,NovaBlinkAbsorb,Modification.VitalMaxArray[Shields]$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$"/> i danni assorbiti.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage by <d ref="$UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaBoombotBoomDamage,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$"/> (<d ref="($UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaBoombotBoomDamage,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$)+($UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaBoombotBoomDamage,AttributeBonus[Structure]$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$)"/> vs. structures).	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni di <d ref="$UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaBoombotBoomDamage,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$"/> (+<d ref="($UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaBoombotBoomDamage,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$)+($UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaBoombotBoomDamage,AttributeBonus[Structure]$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$)"/> alle strutture).
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage by <d ref="$UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaWeaponHellfireShotgunBlastDamage,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$"/> (<d ref="($UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaWeaponHellfireShotgunBlastDamage,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$)+($UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$)"/> vs Light).	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni di <d ref="$UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaWeaponHellfireShotgunBlastDamage,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$"/> (+<d ref="($UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaWeaponHellfireShotgunBlastDamage,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$)+($UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$)"/> alle unità leggere).
<n/><n/><c val="FFFF8A">Mastery:</c> Increases damage by <d ref="$UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$"/>.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta i danni di <d ref="$UpgradeEffectArrayValue:MasteryNovaPrimaryAbilityImprovement:Effect,NovaWeaponImprovedCanisterRifleSnipe,Amount$*$UpgradeLevel:MasteryNovaPrimaryAbilityImprovement$"/>.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases attack speed by <c val="FFFF8A"><d ref="Effect,MasteryNovaWeaponAttackSpeedDisplayDummy,Amount" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryNovaWeaponAttackSpeedDisplayDummy,Amount" player="current"/></c>% la velocità d'attacco.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryRaynorDuskWingCooldownDisplayDummy,Amount" player="Current"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryRaynorDuskWingCooldownDisplayDummy,Amount" player="Current"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Units gain <c val="FFFF8A"><d ref="Effect,MasteryRaynorDropPodHasteDisplayDummy,Amount"/></c>% increased attack speed, movement speed, cooldown reduction, and energy regeneration for <d ref="Behavior,DropPodHaste,Duration"/> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryRaynorDropPodHasteDisplayDummy,Amount"/></c>% velocità d'attacco e di movimento, riduzione dei tempi di recupero e rigenerazione di energia dell'unità per <d ref="Behavior,DropPodHaste,Duration"/> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryRaynorHyperionCooldownDisplayDummy,Amount" player="Current"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryRaynorHyperionCooldownDisplayDummy,Amount" player="Current"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Heals an additional target for <c val="FFFF8A"><d ref="Effect,MasteryRaynorMedicSecondaryHealDisplayDummy,Amount"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Cura un bersaglio aggiuntivo del <c val="FFFF8A"><d ref="Effect,MasteryRaynorMedicSecondaryHealDisplayDummy,Amount"/></c>%.
<n/><n/><c val="FFFF8A">Mastery:</c> Units being healed by Medics take <c val="FFFF8A"><d ref="Effect,MasteryRaynorImprovedSafeguardDisplayDummy,Amount*10" precision="1"/></c>% less damage.	<n/><n/><c val="FFFF8A">Maestria:</c> Durante le cure dei Medici, le unità subiscono il <c val="FFFF8A"><d ref="Effect,MasteryRaynorImprovedSafeguardDisplayDummy,Amount*10" precision="1"/></c>% di danni in meno.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryStukovAleksanderCDRDisplayDummy,Amount" player="current"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryStukovAleksanderCDRDisplayDummy,Amount" player="current"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryStukovApocaliskCDRDisplayDummy,Amount" player="current"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryStukovApocaliskCDRDisplayDummy,Amount" player="current"/></c> secondi.
<n/><n/><c val="FFFF8A">Mastery:</c> Increases spawn rate by <c val="FFFF8A"><d ref="Effect,MasteryStukovBroodlingSpawnRateDisplayDummy,Amount" player="current"/></c>%.	<n/><n/><c val="FFFF8A">Maestria:</c> Aumenta del <c val="FFFF8A"><d ref="Effect,MasteryStukovBroodlingSpawnRateDisplayDummy,Amount" player="current"/></c>% la velocità di generazione.
<n/><n/><c val="FFFF8A">Mastery:</c> Reduces cooldown by <c val="FFFF8A"><d ref="Effect,MasteryStukovInfestStructureCDRDisplayDummy,Amount" player="current"/></c> seconds.	<n/><n/><c val="FFFF8A">Maestria:</c> Tempo di recupero ridotto di <c val="FFFF8A"><d ref="Effect,MasteryStukovInfestStructureCDRDisplayDummy,Amount" player="current"/></c> secondi.
<c val="FFFF8A">Mastery:</c> Units spawned from this structure regenerate <c val="FFFF8A"><d ref="Effect,MasteryStukovUnitRegenSpeedDisplayDummy,Amount" precision="1"/></c> life per second.	<c val="FFFF8A">Maestria:</c> Le unità di questa struttura rigenerano <c val="FFFF8A"><d ref="Effect,MasteryStukovUnitRegenSpeedDisplayDummy,Amount" precision="1"/></c> punti vita al secondo.
<n/><n/><c val="FFFF8A">Mastery:</c> Infested Civilians have a <c val="FFFF8A"><d ref="Effect,MasteryStukovVolatileChanceDisplayDummy,Amount" precision="1"/></c>% chance to spawn as Volatile Infested.	<n/><n/><c val="FFFF8A">Maestria:</c> I Civili infestati hanno una probabilità del <c val="FFFF8A"><d ref="Effect,MasteryStukovVolatileChanceDisplayDummy,Amount" precision="1"/></c>% di essere degli Infestati instabili.
