Amorphous Armorcloud	Armure de brume
Solar Efficiency Level 1	Efficacité solaire niv. 1
Solar Efficiency Level 2	Efficacité solaire niv. 2
Solar Efficiency Level 3	Efficacité solaire niv. 3
Warp In Solar Forge	Transférer une forge solaire
Spawn Brutalisk	Générer un brutalisk
Mutate into Spore Colony	Muter sporuleur mucigène
Warp In Xel'Naga Ambusher	Transférer un persécuteur Xel’Naga
Starport Tech Lab Research 2	Laboratoire technique du spatioport - Recherche 2
Use Stimpack	Utiliser Stimulants
Build Advanced Infested Structure	Construire un bâtiment contaminé avancé
Corrupted Yamato Cannon	Canon Yamato corrompu
Build Infested Structure	Construire un bâtiment contaminé
Rapid Hibernation	Hibernation rapide
Braced Exoskeleton	Exosquelette renforcé
Fight On	Acharnement
Anaerobic Enhancement	Métabolisme anaérobie
Volatile Biomass	Biomasse instable
Mech Attack Speed	Vitesse d’attaque mécanique
Aleksander	Aleksander
Apocalisk	Apocalisk
Zerg Morph	Transformer en Zerg
Summon Omega Worm	Appeler un ver Oméga
Summon Nydus Worm	Appeler un ver de Nydus
Mutate into Sunken Colony	Muter en colonie perdue
Super Bio-Steel	Super bio-acier
Suppression Shells	Obus incapacitants
Enhanced Manufacturing	Fabrication améliorée
Superior Warp Robotics Facilities	Complexe robotique de transfert supérieur
Superior Warp Stargates	Porte spatiale de transfert supérieure
Rebuild	Reconstruire
Switchto Assault Mode	Passer en mode Assaut
Move Suggestion	Suggestion de déplacement
Spike Burst	Explosion d’aiguillons
Stab	Piqûre
War Configuration	Configuration de combat
Build Tech Reactor	Construire un réacteur technique
Upgrade Infantry Armor Level 4	Amélioration Armures infanterie - Niv. 4
Upgrade Infantry Weapons Level 4	Amélioration Armes infanterie - Niv. 4
Upgrade Vehicle and Ship Plating Level 4	Amélioration Blindage véhicule et vaisseau - Niv. 4
Upgrade Vehicle and Ship Weapons Level 4	Amélioration Armes véhicule et vaisseau - Niv. 4
Terrazine Harvest	Extraire la terrazine
Tesseract Cannon	Canon fractal
Tissue Assimilation	Assimilation des tissus
Deploy Covert Banshees	Déploiement de Banshees furtives
Deploy Spec Ops Ghosts	Déploiement de fantômes des Opérations spéciales
Deploy Strike Goliaths	Déploiement de Goliaths d’assaut
Build Strike Fighter	Construire un bombardier
Strike Fighter	Bombardier
Deploy Hellbat Rangers	Déploiement de Nettoyeurs éclaireurs
[ph] Recruit Mercenaries	Recrutement de mercenaires
Train Kel-Morian Worker	Former un ouvrier kel-morian
Deploy Raid Liberators	Déploiement de croiseurs de raid
Deploy Marauder Commandos	Déploiement de maraudeurs d’élite
Deploy Elite Marines	Déploiement de marines d’élite
Medivac Black Ops	Médivac des Opérations spéciales
Deploy Raven Type-II	Déploiement d’un Corbeau de type II
Death Head	Tête de mort
Deploy Heavy Siege Tanks	Déploiement de chars de siège lourds
Transfer Symbiote	Transfert du symbiote
Transform To Warp Robotics Facility	Transformer en complexe robotique de transfert
Transform To Warp Stargate	Transformer en porte spatiale de transfert
KD9a Implosion Core	Noyau implosif KD9a
Purchase KD9a Implosion Core	Acheter le noyau implosif KD9a
Purchase Kel-Morian Ripper Rounds	Acheter les cartouches d’éventreur kel-morian
Vanadium Shell	Obus en vanadium
Purchase Vanadium Shell	Acheter les obus en vanadium
Build Muscle Armory	Construire l’armurerie des Gros bras
Build Command Center	Construire un Centre de commandement
Hades Oil	Huile d’Hadès
Purchase Hades Oil	Acheter l’huile d’Hadès
Miles "Blaze" Lewis	Miles « Kramer » Lewis
Wildflame Fuel Additives	Additif pour carburant Retour de flamme
Purchase Wildflame Fuel Additives	Acheter l’additif pour carburant Retour de flamme
High Capacity Containers	Réservoirs de haute capacité
Purchase High Capacity Containers	Acheter les réservoirs de haute capacité
XCMC-670 Combat Suit	Armure de combat XCMC-670
Build Fixers' Safehouse	Construire la cache des Débrouillards
Type-88 Persuader	Argument type 88
Neural Disruption Device	Dispositif neuro-disrupteur
Purchase Neural Disruption Device	Acheter le dispositif neuro-disrupteur
Vega	Véga
Dominate	Dominer
Moebius Psionic Motivator	Motivateur psionique Möbius
Purchase Moebius Psionic Motivator	Acheter le motivateur psionique Möbius
Purchase Psi Projector	Acheter le projecteur psi
Rob "Cannonball" Boswell	Rob « la Bombarde » Boswell
M.A.L.I.C.E. Ammunition	Munitions M.AL.I.C.E.
Purchase Critical Response System	Acheter le système de réponse critique
Purchase X-71 Impact Boots	Acheter les bottes à impact X-71
X-71 Impact Boots	Bottes à impact X-71
Purchase Redline Power Cells	Acheter les accumulateurs Zone-Rouge
Tychus Outlaw Common Ability 1	Tychus - Hors-la-loi - Capacité de base 1
Tychus Outlaw Common Ability 2	Tychus - Hors-la-loi - Capacité de base 2
Tychus Outlaw Common Ability 3	Tychus - Hors-la-loi - Capacité de base 3
Tychus Outlaw Common Ability 4	Tychus - Hors-la-loi - Capacité de base 4
Tychus Outlaw Common Ability 5	Tychus - Hors-la-loi - Capacité de base 5
Kev "Rattlesnake" West	Kevin « Fer-de-Lance » West
Hammer Munitions	Munitions contondantes
Deploy Revitalizer	Déployer un vivificateur
Umojan Signal Modulator	Modulateur signalétique umojan
Purchase Umojan Signal Modulator	Acheter le modulateur signalétique umojan
Moebius Aggression Blend	Mitigeur d’agression Möbius
Purchase Moebius Aggression Blend	Acheter le mitigeur d’agression Möbius
Purchase Secret Stash Stimpack	Acheter les stimulants du stock secret
XM-77 Matrix Generator	Générateur matriciel XM-77
Lt. Layna Nikara	Lt Layna Nikara
Procyon Twin Heal Beam Gauntlet	Gantelet de soins bi-faisceau Procyon
Purchase Procyon Twin Heal Beam Gauntlet	Acheter le gantelet de soins bi-faisceau Procyon
Purchase Procyon Serum	Acheter le sérum Procyon
Procyon Serum	Sérum Procyon
Purchase Umojan Repair Nanites	Acheter les nanites de réparation umojanes
Umojan Repair Nanites	Nanites de réparation umojanes
Build Gunslingers' Hideout	Construire la planque des Flingueurs
Big Red Button	Gros bouton rouge
Upgrade Outlaw Life and Armor Level 1	Amélioration des points de vie et de l’armure des hors-la-loi - Niv. 1
Upgrade Outlaw Life and Armor Level 2	Amélioration des points de vie et de l’armure des hors-la-loi - Niv. 2
Upgrade Outlaw Life and Armor Level 3	Amélioration des points de vie et de l’armure des hors-la-loi - Niv. 3
Upgrade Outlaw Life and Armor Level 4	Amélioration des points de vie et de l’armure des hors-la-loi - Niv. 4
Upgrade Outlaw Life and Armor Level 5	Amélioration des points de vie et de l’armure des hors-la-loi - Niv. 5
Upgrade Outlaw Weapons Level 1	Amélioration des armes des hors-la-loi - Niv. 1
Upgrade Outlaw Weapons Level 2	Amélioration des armes des hors-la-loi - Niv. 2
Upgrade Outlaw Weapons Level 3	Amélioration des armes des hors-la-loi - Niv. 3
Upgrade Outlaw Weapons Level 4	Amélioration des armes des hors-la-loi - Niv. 4
Upgrade Outlaw Weapons Level 5	Amélioration des armes des hors-la-loi - Niv. 5
Crooked Sam	Sam le Timbré
Enhanced Hostilities Kit	Kit d’aggravation des hostilités
LarsCorp G7 Charges	Charges LarsCorp G7
Purchase LarsCorp G7 Charges	Acheter les charges LarsCorp G7
Moebius Restraint Matrix	Matrice d’inhibition Möbius
Purchase Moebius Restraint Matrix	Acheter la matrice d’inhibition Möbius
Purchase Procyon Shade Suit	Acheter la combinaison d’évasion Procyon
Warp In Supply Depot	Transférer un dépôt de ravitaillement
Redeploy Miles "Blaze" Lewis	Redéployer Miles « Kramer » Lewis
Redeploy Vega	Redéployer Véga
Redeploy Rob "Cannonball" Boswell	Redéployer Rob « la Bombarde » Boswell
Redeploy Kevin "Rattlesnake" West	Redéployer Kevin « Fer-de-Lance » West
Redeploy Lt. Layna Nikara	Redéployer le lt Layna Nikara
Redeploy Crooked Sam	Redéployer Sam le Timbré
Redeploy Nux	Redéployer Nux
Redeploy Tychus Findlay	Redéployer Tychus Findlay
Redeploy James "Sirius" Sykes	Redéployer James « Sirius » Sykes
Train SCV	Former un VCS
Build Auto-Turret	Construire une tourelle automatisée
Nux	Nux
Crystalline Amplifiers	Amplificateurs cristallins
Purchase Crystalline Amplifiers	Acheter les amplificateurs cristallins
T4 Cloudburst Shells	Cartouches à vaporisation T4
Purchase T4 Cloudburst Shells	Acheter les cartouches à vaporisation T4
Ultrasonic Boosters	Amplificateur ultra-sonique
Purchase Ultrasonic Boosters	Acheter l’amplificateur ultra-sonique
Research ITC-E Triggers	Rechercher Gâchettes ITC-E
Research Flashforce GDM Visor	Rechercher Visière MDS Hypervision
Research Endurance Supplements	Rechercher Compléments énergétiques
Deploy Warhound Turret	Déploiement de la tourelle de Chien de guerre
Purchase D99 Detonator	Acheter le détonateur D99
D99 Detonator	Détonateur D99
James "Sirius" Sykes	James « Sirius » Sykes
Purchase Moebius M34 Terror Rounds	Acheter les munitions phobiques Möbius M34
SA-55 Thunderbolt Missiles	Missiles Fulgurance SA-55
Purchase SA-55 Thunderbolt Missiles	Acheter les missiles Fulgurance SA-55
Tyrannozor	Tyralisk
Strike Fighter Platform	Plate-forme de bombardier
Jetpack Overdrive	Zone rouge
Unlock Raven Black Ops	Débloquer le Corbeau des Opérations spéciales
Fusion Mortars	Mortiers à fusion
Vengeance of the Void	Vengeance du Vide
Vile Strain	Souche fétide
Virus Cure Beam	Rayon virucide
Void Blink	Transfert du Vide
Warbot	Robot guerrier
Void Fury	Fureur du Vide
Trillic Compression Systems	Systèmes trilliques compressés
Singularity Charge	Charge de singularité
Void Suppression Crystal	Cristal de neutralisation du Vide
Void Templar	Templier du Vide
Shadow Stalk	Traque des ombres
Upgrade Extra Mineral Gathering Beam.	Amélioration supplémentaire du rayon de collecte de minerai
Upgrade Extra Vespene Gathering Beam.	Amélioration supplémentaire du rayon de collecte de vespène
Robotics Facility Disabled	Complexe robotique désactivé
Anti-Air Cannons	Canons antiaériens
T82 Missile Pods	Silos à missiles T82
Napalm Burninator	Napalminator
Warp Harmonization	Harmonisation des transferts
Warp In Warp Robotics Facility	Transférer un complexe robotique de transfert
Warp In Warp Stargate	Transférer une porte spatiale de transfert
Warp In Supplicant	Transférer un disciple
Warp In War Prism	Transférer un prisme de guerre
Warp In Warp Gate	Transférer une porte de transfert
Warp In Xel'Naga Void Array	Transférer une matrice du Vide Xel’Naga
Warp In Ascendent	Transférer un aspirant
Whirlwind	Tourbillon
Wild Mutation Map-Wide	Mutations frénétiques sur toute la carte
Advanced Cloaking Field	Champ de camouflage avancé
Xel'Naga Shieldguard	Rempart Xel’Naga
Inject Larva	Injecter une larve
Broodling Incubation	Incubation de vermine
Incubate Banelings	Incuber des chancres
Incubate Scourge	Incuber des fléaux
Mass Frenzy	Frénésie de masse
Evasion	Dérobade
Warp in Legionnaire	Transférer un légionnaire
Prismatic Range	Portée prismatique
ZeratulArtifactUpgradeTier	Zeratul - Amélioration d’artéfact - Palier
Telbrus Legion	Légion de Telbrus
Zoraya Legion	Légion de Zoraya
Serdath Legion	Légion de Serdath
Deploy Tesseract Monolith	Déploiement d’un monolithe fractal
Steadfast Reinforcements	Renforts inébranlables
Tesseract Matrix	Matrice fractale
Avatar of Form	Avatar de forme
Avatar of Essence	Avatar d’essence
Chronometry	Chronométrie
Cluster Nova	Novas naines
Warp In Core Forge	Transférer une forge nucléique
Warp In Void Shrine	Transférer un Sanctuaire du Vide
Xel'Naga Abrogator	Exterminateur Xel’Naga
Warp In Xel'Naga Passageway	Transférer un portail Xel’Naga
Barrier	Barrière
Shade Projection	Projection sombre
Warp in Ancient Nexus	Transférer un Nexus antique
Nova Battery	Batterie de nova
Warp In Xel'Naga Watcher	Transférer un scrutateur Xel’Naga
Sensor Array	Matrice de détection
Phase Battery	Batterie de phase
Artifact Enhancement: Shade Projection	Amélioration d’artéfact : Projection sombre
Warp In Tesseract Cannon	Transférer un canon fractal
Warp In Xel'Naga Precursor	Transférer un précurseur Xel’Naga
Reflection Shield	Bouclier de renvoi
Artifact Enhancement: Blink	Amélioration d’artéfact : Transfert
Artifact Enhancement: Barrier	Amélioration d’artéfact : Barrière
Artifact Enhancement: Eternity Barrier	Amélioration d’artéfact : Barrière d’éternité
Artifact Enhancement: Shield Recharge	Amélioration d’artéfact : Recharge de bouclier
Artifact Enhancement: Vengeance of the Void	Amélioration d’artéfact : Vengeance du Vide
Artifact Enhancement: Infinite Void	Amélioration d’artéfact : Vide infini
Artifact Enhancement: Void Fury	Amélioration d’artéfact : Fureur du Vide
Warp In Constructs Bay	Transférer une baie de soutien technologique
Warp In Constructs Facility	Transférer un complexe technologique
Eclipse Protocol	Protocole éclipse
Shadow Cleave	Taillade d’ombre
Summon Void Seeker	Invoquer le Chercheur du Vide
Suppression Field	Champ de neutralisation
Infinite Void	Vide infini
Warp In XelNaga Abrogator	Transférer un exterminateur Xel’Naga
Auto-Unload On	Débarquement automatique activé
Auto-Unload Off	Débarquement automatique désactivé
Select Wormhole Exit	Choisir une sortie de trou de ver
Transfer Link	Voie de transfert
Unload	Débarquer
Zerg Ground Attacks Level 1	Attaques Zergs terrestres - Niv. 1
Zerg Ground Attacks Level 2	Attaques Zergs terrestres - Niv. 2
Zerg Ground Attacks Level 3	Attaques Zergs terrestres - Niv. 3
Shredding Claws	Griffes déchiqueteuses
Zergling Reconstitution	Recomposition de zergling
Evolve Adrenal Overload	Évolution Surcharge d’adrénaline
Contains upgrades for Zerg air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Guardians from Mutalisks<n/>- Devourer from Mutalisks	Permet des améliorations pour les unités aériennes zergs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Gardien à partir d’un mutalisk<n/>- Dévoreur à partir d’un mutalisk
Further evolved version of the Hatchery that allows additional upgrades and structures to be produced. Also spawns all Zerg units and receives gathered resources.	Version évoluée du terrier, qui permet de nouvelles améliorations et la production de bâtiments supplémentaires. Engendre également toutes les unités zergs et reçoit les ressources collectées.
Contains upgrades for Swarm Hosts and Vipers.<n/><n/><c val="ffff8a">Enables:</c><n/>- Swarm Hosts from Larvae<n/>- Vipers from Larvae	Permet des améliorations pour les essaimeurs et les vipères.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Essaimeur à partir d’une larve<n/>- Vipère à partir d’une larve
Evolved version of the Hatchery that allows additional upgrades and structures to be produced. Also spawns all Zerg units and receives gathered resources.<n/><n/><c val="ffff8a">Enables:</c><n/>- Overseers from Overlords<n/>- Ravagers from Roaches	Version évoluée de la couveuse, qui permet de nouvelles améliorations et la production de bâtiments supplémentaires. Engendre également toutes les unités zergs et reçoit les ressources collectées.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Vigilant à partir d’un dominant<n/>- Saccageur à partir d’un cafard
